,text_1,text_2,label,POS dist score,1-gram_overlap,chrf_score_norm,WMD,ROUGE-1 recall,ROUGE-1 precision,ROUGE-1 F,ROUGE-2 recall,ROUGE-2 precision,ROUGE-2 F,ROUGE-L recall,ROUGE-L precision,ROUGE-L F,BertScore,L2_score
23,p.m. to 4:00 p.m.,a.m. to 4 p.m.,3.0,5.0,4.0,2.8169014084507045,1.989421350371666,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,4.8214,3.0784199621681667
24,did n't he,do n't know what it is,2.667,0.0,1.8181818181818186,1.7241379310344829,2.9198608129531727,1.6666666666666665,0.8333333333333333,1.1111111111111112,0.0,0.0,0.0,1.6666666666666665,0.8333333333333333,1.1111111111111112,4.2735,2.0340445783183854
25,you are about,you 're not gonna,2.667,0.0,1.4285714285714284,1.4525993883792052,2.4269969702637444,1.6666666666666665,1.25,1.4285714285714284,0.0,0.0,0.0,1.6666666666666665,1.25,1.4285714285714284,3.7681,2.033131545179072
26,police investigations,an investigation,2.667,3.0484501681354192,0.0,3.1944444444444438,1.6039050666924894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8954,1.139644832301339
27,and the human rights,", and rights",3.333,5.0,3.333333333333333,1.8463073852295413,1.9077049898489704,2.5,3.333333333333333,2.8571428571428577,0.0,0.0,0.0,2.5,3.333333333333333,2.8571428571428577,4.3509,1.876440650402837
28,is colonel,'s colonel,4.333,5.0,2.5,4.333333333333334,0.8976374232845307,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,4.5922,2.3032249144849715
29,", including in particular the",", particularly those of",2.667,0.0,0.0,1.9948519948519952,2.40022584573146,1.0,1.25,1.1111111111111112,0.0,0.0,0.0,1.0,1.25,1.1111111111111112,4.3689,2.474704283757294
30,been permitted to,is allowed to,4.333,0.0,1.6666666666666665,1.0047281323877069,3.811851898293034,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,4.9051,2.992251089312745
31,is considered that,is believed that,3.333,0.0,3.333333333333333,1.9063180827886712,2.061949147539752,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,4.6295,2.706630831916957
32,of human trafficking .,the trafficking of human beings .,3.333,5.0,3.75,4.166666666666666,1.231892948257542,5.0,3.333333333333333,4.0,1.6666666666666665,1.0,1.25,3.75,2.5,3.0,4.6428,2.3595488795658235
33,of the commission for the,committees on,1.3330000000000002,2.704778994830463,0.0,0.938967136150235,1.6833350482225162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2006,1.2352166936160223
34,it is committed,the government is committed,2.333,0.0,2.8571428571428568,4.197080291970803,2.2713580644780658,3.333333333333333,2.5,2.8571428571428577,2.5,1.6666666666666665,2.0,3.333333333333333,2.5,2.8571428571428577,4.7199,2.849723797295743
35,- when did you,"well , did you",3.333,0.0,3.333333333333333,2.608695652173913,1.6935874313660528,2.5,2.5,2.5,1.6666666666666665,1.6666666666666665,1.6666666666666665,2.5,2.5,2.5,4.44,2.557425556007426
36,we have to go .,we should get going .,3.0,0.0,1.25,1.272264631043257,2.9510849682429074,2.0,2.0,2.0000000000000004,0.0,0.0,0.0,2.0,2.0,2.0000000000000004,4.5888,2.817226081914514
37,and the mark,and the trade mark,4.667,5.0,4.285714285714286,4.207920792079208,0.7946211918845826,5.0,3.75,4.285714285714286,2.5,1.6666666666666665,2.0,5.0,3.75,4.285714285714286,4.514,2.7104298641456803
38,", detailed",issue in detail,4.333,0.0,0.0,2.916666666666667,2.8913172257591366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5449,1.5468873682319337
39,was an emergency,was urgent,2.667,0.0,2.0,1.2919896640826871,2.6254244335594588,1.6666666666666665,2.5,2.0,0.0,0.0,0.0,1.6666666666666665,2.5,2.0,4.4344,1.9673308285843083
40,those wishing to,persons who wish to,4.333,0.0,1.4285714285714284,1.6304347826086958,1.7363818412323446,1.6666666666666665,1.25,1.4285714285714284,0.0,0.0,0.0,1.6666666666666665,1.25,1.4285714285714284,4.688,2.2883438837992904
41,others and,other jurisdictions and,3.333,2.0332307123607016,2.0,2.8409090909090913,1.874038989654556,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,4.522,2.145048109172579
42,convention provides,convention shall be,4.0,5.0,2.0,2.676767676767677,1.959821528846884,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,4.3095,1.7274787455908172
43,both employers,the employer shall,3.0,3.615971180128496,0.0,3.0112044817927166,1.609484699580103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5475,1.343849157278243
44,compromise is,compromise proposed,3.333,5.0,2.5,3.903903903903904,1.6844725977241986,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,4.4529,2.361019755594027
45,is anxious to,is intended to,3.667,0.0,3.333333333333333,1.1006289308176103,3.167794171443865,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,4.5131,2.16039051132111
46,considerably better,much better,3.667,0.0,2.5,1.4861995753715498,2.768486733908785,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,4.9958,2.2171341897490215
47,"additionally , it","in addition , it has",3.667,0.0,1.6666666666666665,2.7590090090090094,1.486555878936407,3.333333333333333,2.0,2.5,2.5,1.25,1.6666666666666665,3.333333333333333,2.0,2.5,4.4134,2.9566592408726127
48,proposals presented in,the proposals contained in,3.333,5.0,2.8571428571428568,2.7638190954773867,1.5544664018928958,3.333333333333333,2.5,2.8571428571428577,0.0,0.0,0.0,3.333333333333333,2.5,2.8571428571428577,4.5642,2.354729066890781
49,works well,are working,1.6669999999999998,0.0,0.0,1.4254385964912282,3.1206005868386484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5144,1.0729094704620783
50,report addresses,report is,3.667,5.0,2.5,1.8229166666666663,2.2222812471988327,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,4.2261,2.202587676865325
51,"of treaties ,",nations treaty,2.333,1.3112906190981306,0.0,2.1226415094339623,2.189321277762005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6612,1.1823707113752837
52,it is concerned that,it notes with concern that,4.0,0.0,2.2222222222222223,2.670349907918969,1.0746435062096429,2.5,2.0,2.2222222222222223,0.0,0.0,0.0,2.5,2.0,2.2222222222222223,4.6271,2.5969805633881164
53,"fight against racism ,","fighting racism ,",3.0,5.0,2.0,2.5438596491228065,1.1298871154296086,2.5,3.333333333333333,2.8571428571428577,1.6666666666666665,2.5,2.0,2.5,3.333333333333333,2.8571428571428577,4.6301,2.7686134099291397
54,provides an overview of the,gives an overview of,3.667,5.0,3.333333333333333,3.1162464985994403,1.3786842790216922,3.0,3.75,3.3333333333333326,2.5,3.333333333333333,2.8571428571428577,3.0,3.75,3.3333333333333326,4.8371,3.105096504000808
55,data are available,data base,2.667,5.0,2.0,1.0273972602739725,1.9847832899885176,1.6666666666666665,2.5,2.0,0.0,0.0,0.0,1.6666666666666665,2.5,2.0,3.9659,1.3150280055296921
56,note with appreciation that,note with satisfaction that,4.0,3.905247704386183,3.75,3.0612244897959178,1.0601375080931539,3.75,3.75,3.75,1.6666666666666665,1.6666666666666665,1.6666666666666665,3.75,3.75,3.75,4.6809,3.2359950739434686
57,of the following draft decision :,the following draft resolutions :,4.333,3.9816781419161065,3.333333333333333,3.19672131147541,0.9037539530238046,3.333333333333333,4.0,3.636363636363636,2.0,2.5,2.2222222222222223,3.333333333333333,4.0,3.636363636363636,4.7334,2.664086776423586
58,"yes , she is","yeah , i 'm sure",3.667,4.184997001307751,0.0,1.3468013468013464,2.71237416394235,1.25,1.0,1.1111111111111112,0.0,0.0,0.0,1.25,1.0,1.1111111111111112,4.3386,2.3232355313533386
59,ability to,they are able to,2.667,0.0,1.6666666666666665,1.3374485596707817,2.851959667114187,2.5,1.25,1.6666666666666665,0.0,0.0,0.0,2.5,1.25,1.6666666666666665,4.3625,1.6262069264479297
60,we are confident that,we strongly believe that,4.667,0.0,2.5,1.3741134751773043,2.166383128020715,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,4.6605,2.6041842852306756
61,provincial governments,in the provinces,2.667,3.257987489799935,0.0,1.4991181657848325,1.6496162545281765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5573,1.108572889424451
62,- everything is,- that 's all,2.333,0.0,0.0,0.5420054200542006,4.79615753791628,1.6666666666666665,1.25,1.4285714285714284,0.0,0.0,0.0,1.6666666666666665,1.25,1.4285714285714284,4.2723,2.390653240600488
63,"- yeah , i do","- yes , he did",4.333,3.777495501961627,0.0,1.650943396226415,1.7104017983781288,2.0,2.0,2.0000000000000004,0.0,0.0,0.0,2.0,2.0,2.0000000000000004,4.7121,2.73942219003167
64,be regarded as a,be considered to be an,3.667,0.0,1.25,1.2411347517730495,2.6248355252294564,1.25,1.0,1.1111111111111112,0.0,0.0,0.0,1.25,1.0,1.1111111111111112,4.7122,2.783287089692617
65,withdraw,considered withdrawn,4.0,3.1271416964562135,0.0,4.104477611940299,2.641542928143444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4097,0.5881897299777306
66,of the highest importance,of the greatest importance,4.333,5.0,3.75,3.5766961651917404,1.0667646674520723,3.75,3.75,3.75,1.6666666666666665,1.6666666666666665,1.6666666666666665,3.75,3.75,3.75,4.8634,3.3785544708993314
67,invited committee members,invited the committee,3.333,5.0,3.333333333333333,3.016591251885369,1.2479648474772616,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,4.6442,2.6757967788065558
68,very sorry,"sorry , guys",4.667,0.0,2.5,2.056277056277056,2.7438639113039107,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,4.2084,1.6623570876053262
69,is implemented in,be applied in,2.0,0.0,1.6666666666666665,1.2411347517730498,2.2194487650570283,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,4.7132,2.324127892044214
70,the contents,the content,5.0,3.007462577674165,2.5,4.5212765957446805,0.5838746119011837,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,4.724,2.7877214864918707
71,arguments presented,-rrb- arguments,3.0,5.0,2.5,2.1221532091097304,2.562754326585833,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,4.1414,1.249506993426663
72,has all along been,have long been,4.667,0.0,1.4285714285714284,2.373068432671081,2.118468643440289,1.25,1.6666666666666665,1.4285714285714284,0.0,0.0,0.0,1.25,1.6666666666666665,1.4285714285714284,4.3095,2.001204514662279
73,the policy objectives,the aims and objectives,2.667,4.066041297645652,2.8571428571428568,2.762923351158645,1.9789864802607844,3.333333333333333,2.5,2.8571428571428577,0.0,0.0,0.0,3.333333333333333,2.5,2.8571428571428577,4.6151,2.5287461358182366
74,responding to questions,answer the questions,4.333,5.0,1.6666666666666665,2.145214521452145,1.8360369146191693,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,4.4985,1.795864771115904
75,fair and adequate,fair and appropriate,3.667,4.08544653375425,3.333333333333333,2.871621621621622,2.1868337576896297,3.333333333333333,3.333333333333333,3.333333333333333,2.5,2.5,2.5,3.333333333333333,3.333333333333333,3.333333333333333,4.7153,3.586901116036583
76,is just not,'s just not,4.333,0.0,3.333333333333333,4.4117647058823515,0.8976378426346294,3.333333333333333,3.333333333333333,3.333333333333333,2.5,2.5,2.5,3.333333333333333,3.333333333333333,3.333333333333333,4.7065,2.994719097759132
77,is to ensure that,guaranteeing that,3.0,0.0,1.6666666666666665,1.264367816091954,1.9513847712027728,1.25,2.5,1.6666666666666665,0.0,0.0,0.0,1.25,2.5,1.6666666666666665,4.4355,1.8410923296696744
78,further consideration of the item,discussion of the topic,3.667,3.0898552422554224,2.2222222222222223,1.6949152542372878,2.126421949787311,2.0,2.5,2.2222222222222223,1.25,1.6666666666666665,1.4285714285714284,2.0,2.5,2.2222222222222223,4.5456,2.296762581815913
79,preventing the use,prevention of the use,4.333,5.0,2.8571428571428568,3.533755274261603,1.0704215084979691,3.333333333333333,2.5,2.8571428571428577,2.5,1.6666666666666665,2.0,3.333333333333333,2.5,2.8571428571428577,4.7554,2.3604863437805625
80,men were,two men were,3.333,5.0,4.0,4.6610169491525415,1.5411885207127738,5.0,3.333333333333333,4.0,5.0,2.5,3.333333333333333,5.0,3.333333333333333,4.0,4.666,2.5433200553570576
81,you are all,you 're all,4.333,0.0,3.333333333333333,3.0392156862745097,0.7851974557044481,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,4.5587,3.6332589250477154
82,of qualifications and,of skills and,3.667,2.955947490882678,3.333333333333333,1.0828625235404894,2.367100346500364,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,4.6872,2.856420104494841
83,is an important stage,is an important step,2.333,3.0444117318653134,3.75,4.257246376811595,0.7333367018546914,3.75,3.75,3.75,3.333333333333333,3.333333333333333,3.333333333333333,3.75,3.75,3.75,4.7666,3.2420827967893304
84,prepared by,report prepared by,4.667,0.0,4.0,4.619565217391304,1.129085107781113,5.0,3.333333333333333,4.0,5.0,2.5,3.333333333333333,5.0,3.333333333333333,4.0,4.435,2.255305865788451
85,such issues should be,these issues should be,4.0,5.0,3.75,3.9874551971326166,1.0212622472225326,3.75,3.75,3.75,3.333333333333333,3.333333333333333,3.333333333333333,3.75,3.75,3.75,4.9898,3.48125864014379
86,regarding the application of the,on the operation of the,3.667,2.879686143927077,2.5,2.2144522144522143,2.1272082668741774,3.0,3.0,3.0,1.25,1.25,1.25,3.0,3.0,3.0,4.7539,2.643679624407922
87,to discuss,to be considered in,3.0,0.0,1.6666666666666665,0.9920634920634921,2.9579198303443137,2.5,1.25,1.6666666666666665,0.0,0.0,0.0,2.5,1.25,1.6666666666666665,4.1571,1.687714038146055
88,3/12/2005 ad -lrb- updated,", 20/11/2005 ad -lrb- updated",2.333,5.0,3.333333333333333,4.2366946778711485,0.6244265694640191,3.75,3.0,3.3333333333333326,3.333333333333333,2.5,2.8571428571428577,3.75,3.0,3.3333333333333326,4.8262,3.6552304489379246
89,do n't know what happened,do n't know anything,3.667,0.0,3.6363636363636367,2.310606060606061,2.204046416683726,3.0,3.75,3.3333333333333326,2.5,3.333333333333333,2.8571428571428577,3.0,3.75,3.3333333333333326,4.6213,3.0545758589903476
90,of the society,community was,2.667,3.3336133593079014,0.0,0.584795321637427,3.431311353739339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.517,1.0909179920211862
91,accordance with the provisions of article,provided for in article,2.0,5.0,1.0,1.3169845594913716,1.7030899622773563,0.8333333333333333,1.25,1.0,0.0,0.0,0.0,0.8333333333333333,1.25,1.0,4.2801,1.7212538328598717
92,include the following :,will be the following :,2.0,5.0,2.8571428571428568,3.617886178861789,1.1601413247928247,3.75,3.0,3.3333333333333326,3.333333333333333,2.5,2.8571428571428577,3.75,3.0,3.3333333333333326,4.6784,2.7557114529624123
93,on implementing the,concerning the implementation of the,4.0,0.0,1.4285714285714284,3.571428571428571,1.2384592065747098,1.6666666666666665,1.0,1.25,0.0,0.0,0.0,1.6666666666666665,1.0,1.25,4.7458,2.384360046145916
94,recommendations of the task,recommendations of the panel of,3.667,4.0347257937723064,3.75,4.149933065595716,1.1202986008621334,3.75,3.0,3.3333333333333326,3.333333333333333,2.5,2.8571428571428577,3.75,3.0,3.3333333333333326,4.437,2.653341331691565
95,of ammunition,"munitions ,",1.6669999999999998,2.983261037640566,0.0,2.750809061488673,1.9677342028857747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3038,1.1988078136342435
96,outlined that,"indicated that ,",3.667,0.0,2.5,2.391975308641975,2.0055229608649365,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,4.5682,1.8788900223237381
97,neither is,", nor was",3.0,0.0,0.0,0.563063063063063,4.362555111302648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2941,1.6840553279915729
98,", the board established",", the council established",3.0,3.3990492087230786,3.333333333333333,3.1803542673107885,1.4880086802436656,3.75,3.75,3.75,1.6666666666666665,1.6666666666666665,1.6666666666666665,3.75,3.75,3.75,4.9107,3.0784064937547906
99,presented by,pointed out by,3.0,0.0,2.0,1.8041237113402064,2.352357031874772,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,4.5962,1.4310737344890856
100,was noticeably,have been distinctly,4.333,0.0,0.0,0.8953168044077136,2.2992420560745206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4098,1.6986647978773282
101,let 's get to it,"right , let 's get going",3.0,0.0,3.0,3.205128205128205,2.39025674485742,3.0,2.5,2.727272727272727,2.5,2.0,2.2222222222222223,3.0,2.5,2.727272727272727,4.5424,2.8613724087712322
102,distributed to,to submit to,2.0,0.0,2.5,0.8849557522123894,2.117505655168781,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,4.5972,1.0682772759175498
103,have put in place,has put,3.333,0.0,1.6666666666666665,0.8024691358024693,3.0996182765970013,1.25,2.5,1.6666666666666665,0.0,0.0,0.0,1.25,2.5,1.6666666666666665,4.5052,2.3733325477802927
104,including references to,have referred to,4.667,0.0,1.6666666666666665,1.3047138047138045,3.2466976246284216,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,4.428,1.700628054041038
105,"committee , having",the commission on the,3.667,3.500614576830527,0.0,1.318565400843882,2.110742461186806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1621,1.840583035712719
106,probe into,investigation was,2.333,3.737303139448917,0.0,0.7113821138211384,3.681708846547672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3128,1.3723859062513233
107,go forward with,go ahead with,5.0,0.0,3.333333333333333,1.897018970189702,2.306640625273792,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,4.6636,2.730567334674912
108,now i feel,i 've been feeling,3.667,3.151847247998475,1.4285714285714284,1.9076305220883536,2.3800853928014867,1.6666666666666665,1.25,1.4285714285714284,0.0,0.0,0.0,1.6666666666666665,1.25,1.4285714285714284,4.4124,2.063797869560108
109,is therefore important,is why it is important,3.667,0.0,2.8571428571428568,2.2649572649572653,2.3113586394023122,3.333333333333333,2.0,2.5,0.0,0.0,0.0,3.333333333333333,2.0,2.5,4.5275,2.321390985158685
110,or programs,"programmes , as well",2.0,3.2386466649523227,0.0,2.5709219858156027,2.4806726868868023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1334,1.7643941005593087
111,take responsibility for,be responsible for,5.0,0.0,1.6666666666666665,2.583333333333333,2.089322333706229,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,4.8105,2.0814176864448126
112,i 'm an idiot,i 'm such an idiot,4.667,5.0,4.444444444444445,4.015151515151515,1.6340644617403102,5.0,4.0,4.4444444444444455,3.333333333333333,2.5,2.8571428571428577,5.0,4.0,4.4444444444444455,4.7886,3.527682225127223
113,", including where",", particularly where",3.667,0.0,2.5,1.5765765765765765,2.643927086294278,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,4.5776,2.9204898167519
114,- you did n't,- i do n't believe this,2.0,0.0,2.0,1.3043478260869563,3.1700022932578764,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,4.5398,2.500342818103251
115,its grave concern at :,its serious concern at :,4.667,5.0,3.75,3.1725888324873104,1.591849205963954,4.0,4.0,4.000000000000001,2.5,2.5,2.5,4.0,4.0,4.000000000000001,4.9369,3.609557023257632
116,", having regard to the",in respecting the,3.0,0.0,1.4285714285714284,1.1403508771929824,2.9179714436229407,1.0,1.6666666666666665,1.25,0.0,0.0,0.0,1.0,1.6666666666666665,1.25,4.5907,2.130531978523707
117,conflict resolution,conflicts have,3.0,2.579021250535027,0.0,1.875,2.2469729085957453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1471,1.1456097733322408
118,be utilized for,to be used for,3.667,0.0,2.8571428571428568,2.1505376344086025,2.051181118433804,3.333333333333333,2.5,2.8571428571428577,0.0,0.0,0.0,3.333333333333333,2.5,2.8571428571428577,4.7007,2.990642396961626
119,enter into force,brought into force,4.667,5.0,3.333333333333333,3.2238442822384434,1.8282649533744704,3.333333333333333,3.333333333333333,3.333333333333333,2.5,2.5,2.5,3.333333333333333,3.333333333333333,3.333333333333333,4.9314,1.5634055941900646
120,followed closely,has been closely following,4.667,0.0,1.6666666666666665,3.160919540229885,2.0056134371198566,2.5,1.25,1.6666666666666665,0.0,0.0,0.0,2.5,1.25,1.6666666666666665,4.3599,1.2656258652672552
121,greater participation of,greater involvement of,4.333,3.072239863799877,3.333333333333333,1.6823161189358369,2.578205403257023,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,4.8318,2.988858458627164
122,continue its consideration of this matter,continue consideration of this issue,4.333,4.0141473210836685,3.6363636363636367,3.6184210526315783,0.9343052449393424,3.333333333333333,4.0,3.636363636363636,2.0,2.5,2.2222222222222223,3.333333333333333,4.0,3.636363636363636,4.7054,3.5121194734714853
123,all members of,the states members of,4.0,5.0,2.8571428571428568,3.551912568306012,2.1034495486562803,3.333333333333333,2.5,2.8571428571428577,2.5,1.6666666666666665,2.0,3.333333333333333,2.5,2.8571428571428577,4.5409,2.3067126071114727
124,you 're talking,you talk,3.333,0.0,2.0,1.6949152542372878,2.7319901877592425,1.6666666666666665,2.5,2.0,0.0,0.0,0.0,1.6666666666666665,2.5,2.0,4.2705,2.3170397479815548
