text_1,text_2,label,POS dist score
", it is required to",there is a need to,4.0,-1.0
reminded the public,reminds members of the public that,3.333,0.0
and i am happy to,", and i am glad",3.333,-1.0
offence was committed,"criminal offence ,",1.3330000000000002,0.0
to include in,be contained in,3.0,-1.0
counsel recalls that,""" the security council recalls that",3.667,11.739100456237793
the results of such,results of this,3.333,0.0
- is it,"- hey , it",3.333,-1.0
reaffirms that the,reaffirming that the,3.667,-1.0
n't eaten anything,n't eaten,3.667,-1.0
why did n't you say something,why do you want to,3.0,-1.0
first six months,first six months of this year,4.0,0.0
in the circumstances,under the circumstances,4.667,0.0
parliament needs to,this house must,2.667,7.623463153839111
appreciates the efforts,appreciated the efforts,4.667,0.0
the protection provided for in this,the protection provided under this,5.0,0.0
program objectives,the program 's objectives,3.667,0.0
"yeah , he does","of course , yeah",2.667,0.0
their decision,their own decisions,3.667,4.179549694061279
my fear is that,my concern is that,4.0,5.431390762329102
achieving sustainable,sustainable management,4.0,-1.0
who maintain,who are in,4.0,-1.0
"- yeah , this is","- yeah , he 's",3.333,0.0
a huge opportunity,a great opportunity,4.0,0.0
and detailed,detailed description,2.667,-1.0
and that is exactly,and precisely,3.0,-1.0
results of an,the outcome of the,4.0,4.728340148925781
-roger who is this,- who 's that,3.333,-1.0
continued for,continues with,3.667,-1.0
of aboriginal languages,of indigenous languages,4.0,0.0
sufficient enough,insufficient,1.6669999999999998,-1.0
is the establishment of,is to set up,3.667,-1.0
in the development and implementation of,in the elaboration and implementation of,2.333,2.3400282859802246
's very important that,was essential for,4.333,-1.0
"no , that 's not true",it is not true,4.333,-1.0
center was,centre was,4.0,3.865103244781494
may remain,continued to be,3.667,-1.0
customs clearance,customs,2.667,0.0
it is crucial that,it is also essential,3.0,-1.0
i am scared,i 'm so scared,4.667,0.0
assistance payments,assistance to,3.0,0.0
but i am,"well , i 've",3.333,0.0
get involved,had been involved,3.667,-1.0
considered and adopted,discussed and adopted,4.0,-1.0
the differences among,the differences between,3.667,0.0
and regulations of,and rules of the,3.333,4.855848789215088
the arab states,the arabs,4.0,5.821798324584961
reaffirm the,", reiterating",3.667,-1.0
on the development of a,the process of drafting a,3.0,4.243056297302246
achieving a higher degree of,achieve greater,3.333,-1.0
to avoid,thus avoiding,4.333,-1.0
i work,i really am,3.0,0.0
has not yet been,have not already been,5.0,-1.0
examination of the question of the,consideration of the issue of the,3.333,5.297822952270508
- what 's that mean,what 's that supposed to mean,4.667,-1.0
list -rrb-,-rrb- listed,3.333,-1.0
pertinent terms and conditions of,requirements for the,3.333,8.198929786682129
cost of transportation,cost of transporting,4.667,0.0
this is unbelievable,- you 're unbelievable,4.667,-1.0
're really,are really,3.333,-1.0
rule 160,article 160,3.0,5.87358283996582
it emphasises,the state party emphasizes,3.0,-1.0
sake of the,interests of both the,3.667,5.868836879730225
are relevant to the,shall apply to the,3.333,-1.0
and submit them,and present them,3.333,-1.0
goes well beyond,go far beyond,3.667,-1.0
is worth emphasising,is necessary to underline,2.667,-1.0
all necessary measures for,all appropriate measures to ensure that,4.333,0.0
order to improve,", with a view to improving",3.0,6.218295097351074
is absolutely,is definitely,4.333,-1.0
management regimes,regulatory regimes,4.0,0.0
"yes , i am","oh , yes , you are",2.667,-1.0
strengthening cooperation among,strengthened cooperation between,3.667,0.0
nuclear weapons and international,nuclear weapons and the,2.0,0.0
"acknowledges ,",was acknowledged,4.667,-1.0
drafting committee,drafting of a,3.0,6.022558212280273
adopted a resolution,adoption of resolutions,4.333,8.107531547546387
was underlined that,was stressed that,2.667,-1.0
ministers of,prime minister in,3.667,4.04838228225708
are bad,be harmful,2.667,-1.0
medical doctors,by doctors,4.333,0.0
months back,months away,2.667,0.0
am going to tell you,'m going to tell you,5.0,-1.0
are operated by,are carried out by,4.333,-1.0
been communicated to,been forwarded to,3.667,-1.0
are in favour,lend my support,3.667,5.780595302581787
"activities , especially","activities , particularly",4.333,0.0
was still in,are in,3.667,-1.0
findings of the,outcomes of all the,1.6669999999999998,5.621614456176758
its operations,current operations,2.333,0.0
is not available to,are not subject to,3.333,-1.0
even more comprehensive,more comprehensive,4.667,-1.0
the proper functioning of,the normal functioning of,3.333,0.0
human rights violation,breaches of human rights,3.0,2.7580225467681885
"first and foremost ,",the first is that the,3.0,-1.0
guiding principles,principles,3.333,0.0
the special rapporteur informed the government,the special rapporteur advised the government,4.667,0.0
decided to defer the,decides to defer,4.333,-1.0
council is,rights council,3.667,0.0
on establishing,to be established,4.333,-1.0
also concluded,group concluded,4.667,-1.0
of progress made in implementing,of progress in the implementation,4.0,0.0
both the government of,the government is,4.0,0.0
article 78 of,section 78 of,3.667,4.9660468101501465
was able to,'ve managed to,3.667,-1.0
medical services,medical care is,4.667,6.279722690582275
adoption by,adopted an,4.0,-1.0
and capacity,and the ability,2.667,5.658346176147461
ensure the protection of,purpose of protecting,4.0,5.747224807739258
"member state , and",member states as well,3.667,2.1789841651916504
assisted to,is helping to,3.333,-1.0
in my answer,in my reply,4.667,4.040220737457275
the ship,board ships,3.333,7.00197696685791
included in,mainstreamed in,4.0,-1.0
preparing for,of the preparations for,4.667,-1.0
"no , no , this is","- nope ,",4.0,-1.0
is a need for,was vital for,2.333,-1.0
is to be,must therefore be,3.667,-1.0
and services sectors,and service sectors,5.0,1.6767454147338867
assets were,asset of,4.0,3.546721935272217
"return of refugees ,",refugee return,4.667,1.822869896888733
", government departments",departments is,2.667,0.0
- you 're lying,you are a liar,4.667,-1.0
real democracy,true democracy,3.667,0.0
am aware,is well known,3.0,-1.0
is naturally,are certainly,3.333,-1.0
toppled iraqi president saddam hussein,iraqi president saddam hussein,3.0,0.0
passenger traffic,passengers,3.333,7.026006698608398
during the elections,at the elections,2.667,0.0
by resolution,-lrb- resolutions,3.0,4.053765773773193
financing of this,financing of such,4.333,0.0
has agreed to,has been committed to,4.333,-1.0
transportation to,transport to,4.0,3.8694980144500732
", is committed to",remains committed to,3.0,-1.0
said that it,was suggested that it,4.333,-1.0
is important for,is critical to,2.0,-1.0
major general ghazi,general ghazi,4.333,0.0
the counterfeiting,counterfeits,5.0,4.50437593460083
policy recommendations,in recommendations,3.0,0.0
committee considers that,is of the opinion that,4.0,9.579259872436523
is certainly,is undoubtedly,4.667,-1.0
- cost,costs are,3.667,2.717648506164551
it is very important that,it was essential for,3.333,-1.0
you heard,you 've heard,4.333,-1.0
and to enhance their,and strengthening their,4.667,-1.0
"collection of data ,",gather data,4.667,3.3615317344665527
reaffirming that,", reiterating",3.0,-1.0
what the hell 's this,what is this,3.667,-1.0
ceased to be,to suspend the,3.333,-1.0
any requirement,information requirements,3.0,6.6919684410095215
", it 's clear",", it is clear",4.667,-1.0
and allocation of resources,and resource allocation,4.667,1.6230144500732422
and this is,and it 's gonna be,2.667,-1.0
"are you ok ,","- you all right ,",4.667,-1.0
", relating to",", in relation to",3.667,-1.0
", achieving","achievement ,",4.0,-1.0
both countries in,", the two countries",4.0,0.0
our standard of living,the living standards,4.333,2.391725778579712
supplied with,providing them with,3.667,-1.0
it is essential for,", it is necessary that",4.333,-1.0
achieved in the area of,made in the field of,4.0,5.070507526397705
of formulating,process of formulating,3.0,-1.0
the troop-contributing countries,the countries,3.0,0.0
at a press conference held,at a press conference,4.333,0.0
be completely,that is absolutely,3.667,-1.0
the creation of the state of,the establishment of the state of,5.0,2.2699716091156006
currently studying,currently working,3.333,-1.0
other non-governmental organizations,national non-governmental organizations,3.333,0.0
", i 've just",", but i 've got",3.333,-1.0
at all levels of,at all stages of,4.0,6.115513324737549
and state governments,"and governments ,",3.0,0.0
work with,'m trying to work with,4.0,-1.0
", undertaking",undertaken the,3.667,-1.0
were not able to,can no longer be,2.667,-1.0
not stopped,not ceased,5.0,-1.0
to believe,to be considered,2.667,-1.0
aimed at promoting,designed to promote,3.667,-1.0
objective is to assist,objective is to support,4.667,0.0
outcomes of its,the results of its,3.667,5.355480670928955
is approving,am in favour of,2.333,-1.0
was just about to,were about to,4.667,-1.0
is an extremely important issue,is very important,3.667,-1.0
the security council is ready to,the council is ready to,3.667,0.0
security systems,the security services,4.0,2.1398751735687256
to points raised,to issues raised,4.0,6.5896453857421875
"i am single , yes","yeah , i did",1.6669999999999998,0.0
and the ways in,", and the manner in",4.0,5.8038330078125
're funny,is funny,2.667,-1.0
conclusions as well as,of conclusions and,4.0,0.0
present proposals,forward proposals,3.333,0.0
"prescribed time ,","prescribed time limit ,",4.333,0.0
is crucial,is a key component,4.333,-1.0
goals and objectives,and objectives,4.333,0.0
have already taken steps,has taken steps,4.333,0.0
its cooperation with,its partnerships with,4.0,4.6801557540893555
of the military and,of the army and,4.333,3.906548500061035
"mental illnesses ,","mentally ill ,",4.333,-1.0
express our appreciation to the secretary-general,thanking the secretary-general,2.667,-1.0
a person under the age,persons below the age,3.667,2.2371654510498047
continues to experience,has continued to,4.0,-1.0
of these negotiations,of the negotiation process,4.0,8.116007804870605
", did n't we ?",", did n't l ?",4.0,-1.0
"concerned , the committee",", in the committee",3.333,0.0
of the limits,of the limitations,4.0,4.900150775909424
shall be retained,is maintained,2.333,-1.0
regions across the,regions at,3.333,0.0
everything 's all right,all is well,4.333,-1.0
but that is,"- well , this is",3.0,-1.0
beginning of this century,turn of the century,2.667,2.338202714920044
what happens,what the hell just happened,2.667,-1.0
", it is essential",it is important to,4.333,-1.0
established in december,created in december,4.0,0.0
"clearly , it",it was clear that,4.0,-1.0
reporting obligations,"obligations """,4.0,0.0
maybe this,are perhaps,3.333,-1.0
were under,is still under,3.333,-1.0
plans is,plan -lrb-,4.667,4.328143119812012
order to move,for moving,4.333,-1.0
a better understanding of the,improved understanding of the,4.333,0.0
aim is to,'s objective is to,4.333,4.839315414428711
"of children , in particular","of children , particularly",4.333,0.0
are currently under way,is in progress,2.667,4.9544854164123535
have voted in favour,has voted,3.333,-1.0
consider that to be,think that is,3.333,-1.0
following two reports,following reports,3.667,0.0
protection of the child,welfare of children,3.667,4.461784362792969
remind the house,to be reminded,3.333,-1.0
already adopted,had been adopted,3.333,-1.0
"bodies of the united nations ,","organs of the united nations ,",4.333,2.4022388458251953
is the question,is all about,3.333,-1.0
networks on,"new networks ,",3.333,0.0
enhance international,strengthen international,3.667,5.468631267547607
and further promote,and the promotion and,4.667,5.103400707244873
objectives for,the specific objectives of,2.667,0.0
"cases , such","cases , these",3.667,0.0
requests the commission,call upon the commission,3.333,2.969132900238037
the programme be,the program is,4.667,5.139528274536133
order to guarantee,of ensuring that,3.667,-1.0
", as indicated in",as referred to in,3.667,-1.0
is only one,is all a,2.667,-1.0
", the authorities should",", the administration should",3.333,5.496244430541992
recommendation that,further recommends that,3.667,-1.0
- ladies,"well , ladies",3.667,0.0
language used,"language , or",2.667,0.0
well known,may know,3.333,-1.0
knew you 'd come back .,knew you 'd come .,3.0,0.0
the committee agrees with,the commission agrees with,5.0,4.057036876678467
are essential,was important,3.667,-1.0
"of the citizens of europe ,","of europeans ,",4.333,7.582733631134033
is my sister,'s my sister,4.667,0.0
are effectively,be clearly,2.333,-1.0
you 're trying to,you would like to,4.0,-1.0
economic conditions,economic,3.667,-1.0
client services .,service to clients .,4.667,3.455205202102661
is significant,would be important,2.667,-1.0
believe to be,think is,4.333,-1.0
am asking you,'m just asking you,4.0,-1.0
's difficult for,is hard for,3.667,-1.0
know each other,know them,3.667,-1.0
and consequently,and therefore is,3.333,-1.0
reiterating that,reiterated its view that,4.333,-1.0
"of employment ,","of employment opportunities ,",3.667,0.0
"thank you , doctor","thank you , gentlemen",3.333,0.0
", where appropriate","when required ,",3.333,-1.0
had yet to be,have still not been,4.0,-1.0
of links between,of relationships between,4.0,7.817875862121582
centres of,regional centres for,4.333,0.0
those persons and,the individuals and,3.333,4.748751640319824
i am here,- i 'm in here,4.333,0.0
should be established,should be developed,3.667,-1.0
in all aspects of,in every aspect of,4.333,3.3900768756866455
reaffirmed by,been confirmed by,3.667,-1.0
reaffirms the need,reiterates the need,4.667,0.0
as well as the,as was the,2.667,-1.0
is n't possible,could n't be,3.667,-1.0
defence of the rights of,protecting the rights of,4.0,0.0
the following,the following projects,2.333,6.970346927642822
iceland 's,iceland,4.0,0.0
purposes of prostitution,context of prostitution,4.667,2.4381871223449707
must be of,must be given to,1.6669999999999998,-1.0
is easy for,'s very easy for,4.667,-1.0
completed,has now been completed,4.667,-1.0
you in here ?,- are you there ?,3.333,-1.0
orally and,orally amended,2.667,-1.0
", including , for example ,",", for example to",2.667,0.0
and the objective,and the aim,3.667,4.839315414428711
", and intergovernmental","and intergovernmental organizations ,",4.0,-1.0
is the administration,is the government,2.333,4.466699600219727
a couple of months ago,just a few months ago,4.667,0.0
the egyptian government,the government of egypt,3.667,0.0
applies only to,be limited to,4.0,-1.0
has knowledge,is also known,2.667,-1.0
observes that,has pointed out that,1.0,-1.0
exists no,there being no,4.333,-1.0
presented to the,to submit a,3.667,-1.0
