text_1,text_2,label,ROUGE-1 recall,ROUGE-1 precision,ROUGE-1 F,ROUGE-2 recall,ROUGE-2 precision,ROUGE-2 F,ROUGE-L recall,ROUGE-L precision,ROUGE-L F
we have to go .,we should get going .,3.0,0.4,0.4,0.4000000000000001,0.0,0.0,0.0,0.4,0.4,0.4000000000000001
and the mark,and the trade mark,4.667,1.0,0.75,0.8571428571428571,0.5,0.3333333333333333,0.4,1.0,0.75,0.8571428571428571
", detailed",issue in detail,4.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
was an emergency,was urgent,2.667,0.3333333333333333,0.5,0.4,0.0,0.0,0.0,0.3333333333333333,0.5,0.4
those wishing to,persons who wish to,4.333,0.3333333333333333,0.25,0.28571428571428575,0.0,0.0,0.0,0.3333333333333333,0.25,0.28571428571428575
others and,other jurisdictions and,3.333,0.5,0.3333333333333333,0.4,0.0,0.0,0.0,0.5,0.3333333333333333,0.4
convention provides,convention shall be,4.0,0.5,0.3333333333333333,0.4,0.0,0.0,0.0,0.5,0.3333333333333333,0.4
both employers,the employer shall,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
compromise is,compromise proposed,3.333,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
is anxious to,is intended to,3.667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
considerably better,much better,3.667,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
"additionally , it","in addition , it has",3.667,0.6666666666666666,0.4,0.5,0.5,0.25,0.3333333333333333,0.6666666666666666,0.4,0.5
proposals presented in,the proposals contained in,3.333,0.6666666666666666,0.5,0.5714285714285715,0.0,0.0,0.0,0.6666666666666666,0.5,0.5714285714285715
works well,are working,1.6669999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
report addresses,report is,3.667,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
"of treaties ,",nations treaty,2.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
it is concerned that,it notes with concern that,4.0,0.5,0.4,0.4444444444444445,0.0,0.0,0.0,0.5,0.4,0.4444444444444445
"fight against racism ,","fighting racism ,",3.0,0.5,0.6666666666666666,0.5714285714285715,0.3333333333333333,0.5,0.4,0.5,0.6666666666666666,0.5714285714285715
provides an overview of the,gives an overview of,3.667,0.6,0.75,0.6666666666666665,0.5,0.6666666666666666,0.5714285714285715,0.6,0.75,0.6666666666666665
data are available,data base,2.667,0.3333333333333333,0.5,0.4,0.0,0.0,0.0,0.3333333333333333,0.5,0.4
note with appreciation that,note with satisfaction that,4.0,0.75,0.75,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.75,0.75
of the following draft decision :,the following draft resolutions :,4.333,0.6666666666666666,0.8,0.7272727272727272,0.4,0.5,0.4444444444444445,0.6666666666666666,0.8,0.7272727272727272
"yes , she is","yeah , i 'm sure",3.667,0.25,0.2,0.22222222222222224,0.0,0.0,0.0,0.25,0.2,0.22222222222222224
ability to,they are able to,2.667,0.5,0.25,0.3333333333333333,0.0,0.0,0.0,0.5,0.25,0.3333333333333333
we are confident that,we strongly believe that,4.667,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
provincial governments,in the provinces,2.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
- everything is,- that 's all,2.333,0.3333333333333333,0.25,0.28571428571428575,0.0,0.0,0.0,0.3333333333333333,0.25,0.28571428571428575
"- yeah , i do","- yes , he did",4.333,0.4,0.4,0.4000000000000001,0.0,0.0,0.0,0.4,0.4,0.4000000000000001
be regarded as a,be considered to be an,3.667,0.25,0.2,0.22222222222222224,0.0,0.0,0.0,0.25,0.2,0.22222222222222224
withdraw,considered withdrawn,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of the highest importance,of the greatest importance,4.333,0.75,0.75,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.75,0.75
invited committee members,invited the committee,3.333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
very sorry,"sorry , guys",4.667,0.5,0.3333333333333333,0.4,0.0,0.0,0.0,0.5,0.3333333333333333,0.4
is implemented in,be applied in,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
the contents,the content,5.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
arguments presented,-rrb- arguments,3.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
has all along been,have long been,4.667,0.25,0.3333333333333333,0.28571428571428575,0.0,0.0,0.0,0.25,0.3333333333333333,0.28571428571428575
the policy objectives,the aims and objectives,2.667,0.6666666666666666,0.5,0.5714285714285715,0.0,0.0,0.0,0.6666666666666666,0.5,0.5714285714285715
responding to questions,answer the questions,4.333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
fair and adequate,fair and appropriate,3.667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
is just not,'s just not,4.333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
is to ensure that,guaranteeing that,3.0,0.25,0.5,0.3333333333333333,0.0,0.0,0.0,0.25,0.5,0.3333333333333333
further consideration of the item,discussion of the topic,3.667,0.4,0.5,0.4444444444444445,0.25,0.3333333333333333,0.28571428571428575,0.4,0.5,0.4444444444444445
preventing the use,prevention of the use,4.333,0.6666666666666666,0.5,0.5714285714285715,0.5,0.3333333333333333,0.4,0.6666666666666666,0.5,0.5714285714285715
men were,two men were,3.333,1.0,0.6666666666666666,0.8,1.0,0.5,0.6666666666666666,1.0,0.6666666666666666,0.8
you are all,you 're all,4.333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
of qualifications and,of skills and,3.667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
is an important stage,is an important step,2.333,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75
prepared by,report prepared by,4.667,1.0,0.6666666666666666,0.8,1.0,0.5,0.6666666666666666,1.0,0.6666666666666666,0.8
such issues should be,these issues should be,4.0,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75
regarding the application of the,on the operation of the,3.667,0.6,0.6,0.6,0.25,0.25,0.25,0.6,0.6,0.6
to discuss,to be considered in,3.0,0.5,0.25,0.3333333333333333,0.0,0.0,0.0,0.5,0.25,0.3333333333333333
3/12/2005 ad -lrb- updated,", 20/11/2005 ad -lrb- updated",2.333,0.75,0.6,0.6666666666666665,0.6666666666666666,0.5,0.5714285714285715,0.75,0.6,0.6666666666666665
do n't know what happened,do n't know anything,3.667,0.6,0.75,0.6666666666666665,0.5,0.6666666666666666,0.5714285714285715,0.6,0.75,0.6666666666666665
of the society,community was,2.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
accordance with the provisions of article,provided for in article,2.0,0.16666666666666666,0.25,0.2,0.0,0.0,0.0,0.16666666666666666,0.25,0.2
include the following :,will be the following :,2.0,0.75,0.6,0.6666666666666665,0.6666666666666666,0.5,0.5714285714285715,0.75,0.6,0.6666666666666665
on implementing the,concerning the implementation of the,4.0,0.3333333333333333,0.2,0.25,0.0,0.0,0.0,0.3333333333333333,0.2,0.25
recommendations of the task,recommendations of the panel of,3.667,0.75,0.6,0.6666666666666665,0.6666666666666666,0.5,0.5714285714285715,0.75,0.6,0.6666666666666665
of ammunition,"munitions ,",1.6669999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outlined that,"indicated that ,",3.667,0.5,0.3333333333333333,0.4,0.0,0.0,0.0,0.5,0.3333333333333333,0.4
neither is,", nor was",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
", the board established",", the council established",3.0,0.75,0.75,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.75,0.75
presented by,pointed out by,3.0,0.5,0.3333333333333333,0.4,0.0,0.0,0.0,0.5,0.3333333333333333,0.4
was noticeably,have been distinctly,4.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
let 's get to it,"right , let 's get going",3.0,0.6,0.5,0.5454545454545454,0.5,0.4,0.4444444444444445,0.6,0.5,0.5454545454545454
distributed to,to submit to,2.0,0.5,0.3333333333333333,0.4,0.0,0.0,0.0,0.5,0.3333333333333333,0.4
have put in place,has put,3.333,0.25,0.5,0.3333333333333333,0.0,0.0,0.0,0.25,0.5,0.3333333333333333
including references to,have referred to,4.667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
"committee , having",the commission on the,3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
probe into,investigation was,2.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
go forward with,go ahead with,5.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
now i feel,i 've been feeling,3.667,0.3333333333333333,0.25,0.28571428571428575,0.0,0.0,0.0,0.3333333333333333,0.25,0.28571428571428575
is therefore important,is why it is important,3.667,0.6666666666666666,0.4,0.5,0.0,0.0,0.0,0.6666666666666666,0.4,0.5
or programs,"programmes , as well",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
take responsibility for,be responsible for,5.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
i 'm an idiot,i 'm such an idiot,4.667,1.0,0.8,0.888888888888889,0.6666666666666666,0.5,0.5714285714285715,1.0,0.8,0.888888888888889
", including where",", particularly where",3.667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
- you did n't,- i do n't believe this,2.0,0.5,0.3333333333333333,0.4,0.0,0.0,0.0,0.5,0.3333333333333333,0.4
its grave concern at :,its serious concern at :,4.667,0.8,0.8,0.8000000000000002,0.5,0.5,0.5,0.8,0.8,0.8000000000000002
", having regard to the",in respecting the,3.0,0.2,0.3333333333333333,0.25,0.0,0.0,0.0,0.2,0.3333333333333333,0.25
conflict resolution,conflicts have,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
be utilized for,to be used for,3.667,0.6666666666666666,0.5,0.5714285714285715,0.0,0.0,0.0,0.6666666666666666,0.5,0.5714285714285715
enter into force,brought into force,4.667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
followed closely,has been closely following,4.667,0.5,0.25,0.3333333333333333,0.0,0.0,0.0,0.5,0.25,0.3333333333333333
greater participation of,greater involvement of,4.333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
continue its consideration of this matter,continue consideration of this issue,4.333,0.6666666666666666,0.8,0.7272727272727272,0.4,0.5,0.4444444444444445,0.6666666666666666,0.8,0.7272727272727272
all members of,the states members of,4.0,0.6666666666666666,0.5,0.5714285714285715,0.5,0.3333333333333333,0.4,0.6666666666666666,0.5,0.5714285714285715
you 're talking,you talk,3.333,0.3333333333333333,0.5,0.4,0.0,0.0,0.0,0.3333333333333333,0.5,0.4
", particularly the","and , in particular , the",3.667,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.4444444444444444
seems to be an,now seems to,2.667,0.5,0.6666666666666666,0.5714285714285715,0.3333333333333333,0.5,0.4,0.5,0.6666666666666666,0.5714285714285715
endangered wildlife in,endangered species in,2.333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
", activities and","operations , and",3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
/ or recommendations,audit recommendations,2.667,0.3333333333333333,0.5,0.4,0.0,0.0,0.0,0.3333333333333333,0.5,0.4
purposes are,"goals and objectives ,",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
you worry,you 're worried about,4.333,0.5,0.25,0.3333333333333333,0.0,0.0,0.0,0.5,0.25,0.3333333333333333
report refers to the,report mentions the,5.0,0.5,0.6666666666666666,0.5714285714285715,0.0,0.0,0.0,0.5,0.6666666666666666,0.5714285714285715
relating to the situation in,regarding the situation in,4.667,0.6,0.75,0.6666666666666665,0.5,0.6666666666666666,0.5714285714285715,0.6,0.75,0.6666666666666665
provincial and territorial,the provinces and territories,3.667,0.3333333333333333,0.25,0.28571428571428575,0.0,0.0,0.0,0.3333333333333333,0.25,0.28571428571428575
provisional agreement,interim agreement,3.333,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
why do i say that,why would they be doing that,3.0,0.4,0.3333333333333333,0.3636363636363636,0.0,0.0,0.0,0.4,0.3333333333333333,0.3636363636363636
center of gaza strip,central gaza strip,4.667,0.5,0.6666666666666666,0.5714285714285715,0.3333333333333333,0.5,0.4,0.5,0.6666666666666666,0.5714285714285715
on the question of the,on the issue of,3.0,0.6,0.75,0.6666666666666665,0.25,0.3333333333333333,0.28571428571428575,0.6,0.75,0.6666666666666665
are reproduced in annex,appear in annex,3.0,0.5,0.6666666666666666,0.5714285714285715,0.3333333333333333,0.5,0.4,0.5,0.6666666666666666,0.5714285714285715
"- yes , she did","yes , that 's it",3.333,0.4,0.4,0.4000000000000001,0.25,0.25,0.25,0.4,0.4,0.4000000000000001
advice from the,to the views of the,3.0,0.3333333333333333,0.2,0.25,0.0,0.0,0.0,0.3333333333333333,0.2,0.25
have thus been,have therefore been,3.333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
referred to in paragraph,referred to in section,4.333,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75
are accepted,is to be adopted,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"of data ,",data are available,2.667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
certain circumstances -lrb-,some cases -lrb-,4.667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
are fundamental,is a key factor,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
- how 're you doing,- how you doing,4.0,0.8,1.0,0.888888888888889,0.5,0.6666666666666666,0.5714285714285715,0.8,1.0,0.888888888888889
a bit tired,really tired,3.667,0.3333333333333333,0.5,0.4,0.0,0.0,0.0,0.3333333333333333,0.5,0.4
various regional groups,regional groups,3.667,0.6666666666666666,1.0,0.8,0.5,1.0,0.6666666666666666,0.6666666666666666,1.0,0.8
relationships are,relations officer,1.6669999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
given time,given point in time,3.0,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,1.0,0.5,0.6666666666666666
attach importance to,attached special importance to,3.667,0.6666666666666666,0.5,0.5714285714285715,0.5,0.3333333333333333,0.4,0.6666666666666666,0.5,0.5714285714285715
police officers and,", the police and",3.333,0.6666666666666666,0.5,0.5714285714285715,0.0,0.0,0.0,0.6666666666666666,0.5,0.5714285714285715
used to think that,was just thinking that,3.333,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25
assumed responsibility,they are responsible for,3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
departments of education,ministry of education,4.333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
of the tribunal for the,of the courts to,3.0,0.4,0.5,0.4444444444444445,0.25,0.3333333333333333,0.28571428571428575,0.4,0.5,0.4444444444444445
it supported the,and endorsed the,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
"dominic , i am so sorry",- i 'm sorry,4.0,0.3333333333333333,0.5,0.4,0.0,0.0,0.0,0.3333333333333333,0.5,0.4
aims to,is making an effort to,2.333,0.5,0.2,0.28571428571428575,0.0,0.0,0.0,0.5,0.2,0.28571428571428575
's very important for,was very important for,4.667,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75
everything looks,all this is,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apply them,to be implemented,3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
of small arms .,of use of nuclear weapons .,2.0,0.5,0.3333333333333333,0.4,0.0,0.0,0.0,0.5,0.3333333333333333,0.4
non-governmental organizations,the non-governmental organisations,4.333,0.5,0.3333333333333333,0.4,0.0,0.0,0.0,0.5,0.3333333333333333,0.4
are implemented,be put into effect,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is illustrated in,is listed in,4.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
and the costs of,and cost of,5.0,0.5,0.6666666666666666,0.5714285714285715,0.0,0.0,0.0,0.5,0.6666666666666666,0.5714285714285715
of people with disabilities,of persons with disabilities,5.0,0.75,0.75,0.75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.75,0.75
are at present,is currently the,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
been actively involved,actively engaged,5.0,0.3333333333333333,0.5,0.4,0.0,0.0,0.0,0.3333333333333333,0.5,0.4
participate effectively in,be actively involved in,3.667,0.3333333333333333,0.25,0.28571428571428575,0.0,0.0,0.0,0.3333333333333333,0.25,0.28571428571428575
's hard to believe,is hard to believe,4.0,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75
but were,", but rather that",3.333,0.5,0.25,0.3333333333333333,0.0,0.0,0.0,0.5,0.25,0.3333333333333333
all necessary steps to,all measures necessary,4.667,0.5,0.6666666666666666,0.5714285714285715,0.0,0.0,0.0,0.5,0.6666666666666666,0.5714285714285715
the baltic states,the baltic sea,2.667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
the goals set out in,the objectives set forth in,3.0,0.6,0.6,0.6,0.0,0.0,0.0,0.6,0.6,0.6
each state party to,states parties to,3.667,0.25,0.3333333333333333,0.28571428571428575,0.0,0.0,0.0,0.25,0.3333333333333333,0.28571428571428575
documentation and,documents and to,4.0,0.5,0.3333333333333333,0.4,0.0,0.0,0.0,0.5,0.3333333333333333,0.4
will leave,'m leaving,3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plenary meetings and,plenary sessions and,3.667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
", but rather that",", but it is",3.333,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5
cases even,case then,3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"report , dated",report of the work of the,3.333,0.3333333333333333,0.16666666666666666,0.2222222222222222,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
agreement reached,to reaching,1.3330000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
development of a,of setting up a,3.667,0.6666666666666666,0.5,0.5714285714285715,0.0,0.0,0.0,0.6666666666666666,0.5,0.5714285714285715
persons with reduced mobility,passengers with reduced mobility,5.0,0.75,0.75,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75
the knowledge and,the skills and,2.667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
measured in,measured during,4.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5
", the sources said",the officials said,4.667,0.5,0.6666666666666666,0.5714285714285715,0.0,0.0,0.0,0.5,0.6666666666666666,0.5714285714285715
had originally been,had initially been,4.667,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
and we are,", and we stand",3.667,0.6666666666666666,0.5,0.5714285714285715,0.5,0.3333333333333333,0.4,0.6666666666666666,0.5,0.5714285714285715
most of its,the majority of its,2.667,0.6666666666666666,0.5,0.5714285714285715,0.5,0.3333333333333333,0.4,0.6666666666666666,0.5,0.5714285714285715
where are you taking him ?,wh-where are you taking him ?,4.667,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8,0.8,0.8000000000000002,0.8333333333333334,0.8333333333333334,0.8333333333333334
concepts and,to the principles and,2.667,0.5,0.25,0.3333333333333333,0.0,0.0,0.0,0.5,0.25,0.3333333333333333
"yes , that 's true .","yes , it does .",2.333,0.5,0.6,0.5454545454545454,0.2,0.25,0.22222222222222224,0.5,0.6,0.5454545454545454
of facilitating and,facilitation and,4.333,0.3333333333333333,0.5,0.4,0.0,0.0,0.0,0.3333333333333333,0.5,0.4
to implement its,to carry out the,4.333,0.3333333333333333,0.25,0.28571428571428575,0.0,0.0,0.0,0.3333333333333333,0.25,0.28571428571428575
rates at,rate is,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strives to,to pursue efforts to,3.333,0.5,0.25,0.3333333333333333,0.0,0.0,0.0,0.5,0.25,0.3333333333333333
are currently under,is under way,4.667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
's what it is,'s exactly right,3.0,0.25,0.3333333333333333,0.28571428571428575,0.0,0.0,0.0,0.25,0.3333333333333333,0.28571428571428575
and non-governmental organizations ;,and ngos ;,4.333,0.5,0.6666666666666666,0.5714285714285715,0.0,0.0,0.0,0.5,0.6666666666666666,0.5714285714285715
