,text_1,text_2,label,ROUGE-1 recall,ROUGE-1 precision,ROUGE-1 F,ROUGE-2 recall,ROUGE-2 precision,ROUGE-2 F,ROUGE-L recall,ROUGE-L precision,ROUGE-L F,POS dist score,WMD,1-gram_overlap,BertScore,chrf_score_norm,L2_score
27,and the human rights,", and rights",3.333,2.5,3.333333333333333,2.8571428571428577,0.0,0.0,0.0,2.5,3.333333333333333,2.8571428571428577,0.3441393234944299,1.9077049898489704,3.333333333333333,4.3509,1.8463073852295413,2.8684702348014515
28,is colonel,'s colonel,4.333,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.3441393234944299,0.8976374232845307,2.5,4.5922,4.333333333333334,2.383667604878607
29,", including in particular the",", particularly those of",2.667,1.0,1.25,1.1111111111111112,0.0,0.0,0.0,1.0,1.25,1.1111111111111112,0.0,2.40022584573146,0.0,4.3689,1.9948519948519952,2.188876802599324
30,been permitted to,is allowed to,4.333,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,3.811851898293034,1.6666666666666665,4.9051,1.0047281323877069,1.6009730920886611
31,is considered that,is believed that,3.333,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,0.0,2.061949147539752,3.333333333333333,4.6295,1.9063180827886712,1.9254214459718988
32,of human trafficking .,the trafficking of human beings .,3.333,5.0,3.333333333333333,4.0,1.6666666666666665,1.0,1.25,3.75,2.5,3.0,0.3441393234944299,1.231892948257542,3.75,4.6428,4.166666666666666,2.319686786706679
33,of the commission for the,committees on,1.3330000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.481385167866117,1.6833350482225162,0.0,4.2006,0.938967136150235,3.5968641489687125
34,it is committed,the government is committed,2.333,3.333333333333333,2.5,2.8571428571428577,2.5,1.6666666666666665,2.0,3.333333333333333,2.5,2.8571428571428577,0.0,2.2713580644780658,2.8571428571428568,4.7199,4.197080291970803,1.7628759826608542
35,- when did you,"well , did you",3.333,2.5,2.5,2.5,1.6666666666666665,1.6666666666666665,1.6666666666666665,2.5,2.5,2.5,0.0,1.6935874313660528,3.333333333333333,4.44,2.608695652173913,2.0949101461114696
36,we have to go .,we should get going .,3.0,2.0,2.0,2.0000000000000004,0.0,0.0,0.0,2.0,2.0,2.0000000000000004,0.0,2.9510849682429074,1.25,4.5888,1.272264631043257,1.7997915374486748
37,and the mark,and the trade mark,4.667,5.0,3.75,4.285714285714286,2.5,1.6666666666666665,2.0,5.0,3.75,4.285714285714286,0.3441393234944299,0.7946211918845826,4.285714285714286,4.514,4.207920792079208,1.9211059616144621
38,", detailed",issue in detail,4.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8913172257591366,0.0,4.5449,2.916666666666667,3.242824004005584
39,was an emergency,was urgent,2.667,1.6666666666666665,2.5,2.0,0.0,0.0,0.0,1.6666666666666665,2.5,2.0,0.0,2.6254244335594588,2.0,4.4344,1.2919896640826871,2.765224166178703
40,those wishing to,persons who wish to,4.333,1.6666666666666665,1.25,1.4285714285714284,0.0,0.0,0.0,1.6666666666666665,1.25,1.4285714285714284,0.0,1.7363818412323446,1.4285714285714284,4.688,1.6304347826086958,2.4005716086564797
41,others and,other jurisdictions and,3.333,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,3.1067122160112803,1.874038989654556,2.0,4.522,2.8409090909090913,2.563347451728546
42,convention provides,convention shall be,4.0,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,0.3441393234944299,1.959821528846884,2.0,4.3095,2.676767676767677,3.0376824792277954
43,both employers,the employer shall,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6329083950124585,1.609484699580103,0.0,4.5475,3.0112044817927166,3.473463853993669
44,compromise is,compromise proposed,3.333,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.3441393234944299,1.6844725977241986,2.5,4.4529,3.903903903903904,2.3180159552661213
45,is anxious to,is intended to,3.667,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,0.0,3.167794171443865,3.333333333333333,4.5131,1.1006289308176103,2.545919356231777
46,considerably better,much better,3.667,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.0,2.768486733908785,2.5,4.9958,1.4861995753715498,2.481461767589161
47,"additionally , it","in addition , it has",3.667,3.333333333333333,2.0,2.5,2.5,1.25,1.6666666666666665,3.333333333333333,2.0,2.5,0.0,1.486555878936407,1.6666666666666665,4.4134,2.7590090090090094,1.641403405902365
48,proposals presented in,the proposals contained in,3.333,3.333333333333333,2.5,2.8571428571428577,0.0,0.0,0.0,3.333333333333333,2.5,2.8571428571428577,0.3441393234944299,1.5544664018928958,2.8571428571428568,4.5642,2.7638190954773867,2.3251618195446895
49,works well,are working,1.6669999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1206005868386484,0.0,4.5144,1.4254385964912282,3.781235915368616
50,report addresses,report is,3.667,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.3441393234944299,2.2222812471988327,2.5,4.2261,1.8229166666666663,2.4979857781859187
51,"of treaties ,",nations treaty,2.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.778962714214074,2.189321277762005,0.0,4.6612,2.1226415094339623,3.656894176613395
52,it is concerned that,it notes with concern that,4.0,2.5,2.0,2.2222222222222223,0.0,0.0,0.0,2.5,2.0,2.2222222222222223,0.0,1.0746435062096429,2.2222222222222223,4.6271,2.670349907918969,2.049977909338359
53,"fight against racism ,","fighting racism ,",3.0,2.5,3.333333333333333,2.8571428571428577,1.6666666666666665,2.5,2.0,2.5,3.333333333333333,2.8571428571428577,0.3441393234944299,1.1298871154296086,2.0,4.6301,2.5438596491228065,1.8550127656183024
54,provides an overview of the,gives an overview of,3.667,3.0,3.75,3.3333333333333326,2.5,3.333333333333333,2.8571428571428577,3.0,3.75,3.3333333333333326,0.3441393234944299,1.3786842790216922,3.333333333333333,4.8371,3.1162464985994403,1.47278712456438
55,data are available,data base,2.667,1.6666666666666665,2.5,2.0,0.0,0.0,0.0,1.6666666666666665,2.5,2.0,0.3441393234944299,1.9847832899885176,2.0,3.9659,1.0273972602739725,3.506203041777813
56,note with appreciation that,note with satisfaction that,4.0,3.75,3.75,3.75,1.6666666666666665,1.6666666666666665,1.6666666666666665,3.75,3.75,3.75,1.3635421562269443,1.0601375080931539,3.75,4.6809,3.0612244897959178,1.3240938003205214
57,of the following draft decision :,the following draft resolutions :,4.333,3.333333333333333,4.0,3.636363636363636,2.0,2.5,2.2222222222222223,3.333333333333333,4.0,3.636363636363636,1.292372262510207,0.9037539530238046,3.333333333333333,4.7334,3.19672131147541,1.9737490712537915
58,"yes , she is","yeah , i 'm sure",3.667,1.25,1.0,1.1111111111111112,0.0,0.0,0.0,1.25,1.0,1.1111111111111112,1.1030474060635023,2.71237416394235,0.0,4.3386,1.3468013468013464,2.360936683191448
59,ability to,they are able to,2.667,2.5,1.25,1.6666666666666665,0.0,0.0,0.0,2.5,1.25,1.6666666666666665,0.0,2.851959667114187,1.6666666666666665,4.3625,1.3374485596707817,3.152721501022877
60,we are confident that,we strongly believe that,4.667,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.0,2.166383128020715,2.5,4.6605,1.3741134751773043,2.041794891386617
61,provincial governments,in the provinces,2.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9662528323386783,1.6496162545281765,0.0,4.5573,1.4991181657848325,3.740724301515695
62,- everything is,- that 's all,2.333,1.6666666666666665,1.25,1.4285714285714284,0.0,0.0,0.0,1.6666666666666665,1.25,1.4285714285714284,0.0,4.79615753791628,0.0,4.2723,0.5420054200542006,2.2843540031418823
63,"- yeah , i do","- yes , he did",4.333,2.0,2.0,2.0000000000000004,0.0,0.0,0.0,2.0,2.0,2.0000000000000004,1.4825014473480385,1.7104017983781288,0.0,4.7121,1.650943396226415,1.8881723297540265
64,be regarded as a,be considered to be an,3.667,1.25,1.0,1.1111111111111112,0.0,0.0,0.0,1.25,1.0,1.1111111111111112,0.0,2.6248355252294564,1.25,4.7122,1.2411347517730495,1.8383443006849038
65,withdraw,considered withdrawn,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.088092789121719,2.641542928143444,0.0,4.4097,4.104477611940299,4.331849948591513
66,of the highest importance,of the greatest importance,4.333,3.75,3.75,3.75,1.6666666666666665,1.6666666666666665,1.6666666666666665,3.75,3.75,3.75,0.3441393234944299,1.0667646674520723,3.75,4.8634,3.5766961651917404,1.1621544403653095
67,invited committee members,invited the committee,3.333,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,0.3441393234944299,1.2479648474772616,3.333333333333333,4.6442,3.016591251885369,1.9604471751216188
68,very sorry,"sorry , guys",4.667,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,0.0,2.7438639113039107,2.5,4.2084,2.056277056277056,3.111656975743502
69,is implemented in,be applied in,2.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,2.2194487650570283,1.6666666666666665,4.7132,1.2411347517730498,2.3599230122429504
70,the contents,the content,5.0,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,2.1995346497089554,0.5838746119011837,2.5,4.724,4.5212765957446805,1.8333070783425502
71,arguments presented,-rrb- arguments,3.0,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.3441393234944299,2.562754326585833,2.5,4.1414,2.1221532091097304,3.580631181838389
72,has all along been,have long been,4.667,1.25,1.6666666666666665,1.4285714285714284,0.0,0.0,0.0,1.25,1.6666666666666665,1.4285714285714284,0.0,2.118468643440289,1.4285714285714284,4.3095,2.373068432671081,2.726745587004517
73,the policy objectives,the aims and objectives,2.667,3.333333333333333,2.5,2.8571428571428577,0.0,0.0,0.0,3.333333333333333,2.5,2.8571428571428577,1.213815642648785,1.9789864802607844,2.8571428571428568,4.6151,2.762923351158645,2.1274883349120426
74,responding to questions,answer the questions,4.333,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.3441393234944299,1.8360369146191693,1.6666666666666665,4.4985,2.145214521452145,2.9599998470064905
75,fair and adequate,fair and appropriate,3.667,3.333333333333333,3.333333333333333,3.333333333333333,2.5,2.5,2.5,3.333333333333333,3.333333333333333,3.333333333333333,1.1957460275055205,2.1868337576896297,3.333333333333333,4.7153,2.871621621621622,0.9254845113196073
76,is just not,'s just not,4.333,3.333333333333333,3.333333333333333,3.333333333333333,2.5,2.5,2.5,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.8976378426346294,3.333333333333333,4.7065,4.4117647058823515,1.598169574981363
77,is to ensure that,guaranteeing that,3.0,1.25,2.5,1.6666666666666665,0.0,0.0,0.0,1.25,2.5,1.6666666666666665,0.0,1.9513847712027728,1.6666666666666665,4.4355,1.264367816091954,2.908623915002499
78,further consideration of the item,discussion of the topic,3.667,2.0,2.5,2.2222222222222223,1.25,1.6666666666666665,1.4285714285714284,2.0,2.5,2.2222222222222223,2.1228128962976776,2.126421949787311,2.2222222222222223,4.5456,1.6949152542372878,2.3910084469317554
79,preventing the use,prevention of the use,4.333,3.333333333333333,2.5,2.8571428571428577,2.5,1.6666666666666665,2.0,3.333333333333333,2.5,2.8571428571428577,0.3441393234944299,1.0704215084979691,2.8571428571428568,4.7554,3.533755274261603,2.3186218807225245
80,men were,two men were,3.333,5.0,3.333333333333333,4.0,5.0,2.5,3.333333333333333,5.0,3.333333333333333,4.0,0.3441393234944299,1.5411885207127738,4.0,4.666,4.6610169491525415,2.110933191915147
81,you are all,you 're all,4.333,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.7851974557044481,3.333333333333333,4.5587,3.0392156862745097,0.8728246791339183
82,of qualifications and,of skills and,3.667,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,2.247504063076806,2.367100346500364,3.333333333333333,4.6872,1.0828625235404894,1.7552693588602413
83,is an important stage,is an important step,2.333,3.75,3.75,3.75,3.333333333333333,3.333333333333333,3.333333333333333,3.75,3.75,3.75,2.1651286269032135,0.7333367018546914,3.75,4.7666,4.257246376811595,1.3171784937024047
84,prepared by,report prepared by,4.667,5.0,3.333333333333333,4.0,5.0,2.5,3.333333333333333,5.0,3.333333333333333,4.0,0.0,1.129085107781113,4.0,4.435,4.619565217391304,2.4381009164755953
85,such issues should be,these issues should be,4.0,3.75,3.75,3.75,3.333333333333333,3.333333333333333,3.333333333333333,3.75,3.75,3.75,0.3441393234944299,1.0212622472225326,3.75,4.9898,3.9874551971326166,1.0454883503892929
86,regarding the application of the,on the operation of the,3.667,3.0,3.0,3.0,1.25,1.25,1.25,3.0,3.0,3.0,2.318516504362393,2.1272082668741774,2.5,4.7539,2.2144522144522143,1.9969304342960927
87,to discuss,to be considered in,3.0,2.5,1.25,1.6666666666666665,0.0,0.0,0.0,2.5,1.25,1.6666666666666665,0.0,2.9579198303443137,1.6666666666666665,4.1571,0.9920634920634921,3.0828529233368203
88,3/12/2005 ad -lrb- updated,", 20/11/2005 ad -lrb- updated",2.333,3.75,3.0,3.3333333333333326,3.333333333333333,2.5,2.8571428571428577,3.75,3.0,3.3333333333333326,0.3441393234944299,0.6244265694640191,3.333333333333333,4.8262,4.2366946778711485,0.8478662786917314
89,do n't know what happened,do n't know anything,3.667,3.0,3.75,3.3333333333333326,2.5,3.333333333333333,2.8571428571428577,3.0,3.75,3.3333333333333326,0.0,2.204046416683726,3.6363636363636367,4.6213,2.310606060606061,1.530175701481911
90,of the society,community was,2.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8958321299449419,3.431311353739339,0.0,4.517,0.584795321637427,3.7607792599864074
91,accordance with the provisions of article,provided for in article,2.0,0.8333333333333333,1.25,1.0,0.0,0.0,0.0,0.8333333333333333,1.25,1.0,0.3441393234944299,1.7030899622773563,1.0,4.2801,1.3169845594913716,3.0447536257460324
92,include the following :,will be the following :,2.0,3.75,3.0,3.3333333333333326,3.333333333333333,2.5,2.8571428571428577,3.75,3.0,3.3333333333333326,0.3441393234944299,1.1601413247928247,2.8571428571428568,4.6784,3.617886178861789,1.8696686543073406
93,on implementing the,concerning the implementation of the,4.0,1.6666666666666665,1.0,1.25,0.0,0.0,0.0,1.6666666666666665,1.0,1.25,0.0,1.2384592065747098,1.4285714285714284,4.7458,3.571428571428571,2.29150271381132
94,recommendations of the task,recommendations of the panel of,3.667,3.75,3.0,3.3333333333333326,3.333333333333333,2.5,2.8571428571428577,3.75,3.0,3.3333333333333326,1.2429757672585589,1.1202986008621334,3.75,4.437,4.149933065595716,1.9859552848005306
95,of ammunition,"munitions ,",1.6669999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222070449419617,1.9677342028857747,0.0,4.3038,2.750809061488673,3.638222564105393
96,outlined that,"indicated that ,",3.667,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,0.0,2.0055229608649365,2.5,4.5682,2.391975308641975,2.8656878877262475
97,neither is,", nor was",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.362555111302648,0.0,4.2941,0.563063063063063,3.08700900980555
98,", the board established",", the council established",3.0,3.75,3.75,3.75,1.6666666666666665,1.6666666666666665,1.6666666666666665,3.75,3.75,3.75,1.834900090319769,1.4880086802436656,3.333333333333333,4.9107,3.1803542673107885,1.5031054569137812
99,presented by,pointed out by,3.0,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,0.0,2.352357031874772,2.0,4.5962,1.8041237113402064,3.3743816994145424
100,was noticeably,have been distinctly,4.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2992420560745206,0.0,4.4098,0.8953168044077136,3.0704134836381893
101,let 's get to it,"right , let 's get going",3.0,3.0,2.5,2.727272727272727,2.5,2.0,2.2222222222222223,3.0,2.5,2.727272727272727,0.0,2.39025674485742,3.0,4.5424,3.205128205128205,1.749643823104991
102,distributed to,to submit to,2.0,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,0.0,2.117505655168781,2.5,4.5972,0.8849557522123894,3.7864978246902528
103,have put in place,has put,3.333,1.25,2.5,1.6666666666666665,0.0,0.0,0.0,1.25,2.5,1.6666666666666665,0.0,3.0996182765970013,1.6666666666666665,4.5052,0.8024691358024693,2.304029324230338
104,including references to,have referred to,4.667,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,3.2466976246284216,1.6666666666666665,4.428,1.3047138047138045,3.068183336391721
105,"committee , having",the commission on the,3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7403252496265122,2.110742461186806,0.0,4.1621,1.318565400843882,2.909202443946781
106,probe into,investigation was,2.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5199274553717947,3.681708846547672,0.0,4.3128,0.7113821138211384,3.441047731573244
107,go forward with,go ahead with,5.0,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,0.0,2.306640625273792,3.333333333333333,4.6636,1.897018970189702,1.898230941389521
108,now i feel,i 've been feeling,3.667,1.6666666666666665,1.25,1.4285714285714284,0.0,0.0,0.0,1.6666666666666665,1.25,1.4285714285714284,2.0650876679383203,2.3800853928014867,1.4285714285714284,4.4124,1.9076305220883536,2.6556430988764137
109,is therefore important,is why it is important,3.667,3.333333333333333,2.0,2.5,0.0,0.0,0.0,3.333333333333333,2.0,2.5,0.0,2.3113586394023122,2.8571428571428568,4.5275,2.2649572649572653,2.3630319826704613
110,or programs,"programmes , as well",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9842624695105144,2.4806726868868023,0.0,4.1334,2.5709219858156027,2.9957487373365628
111,take responsibility for,be responsible for,5.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,2.089322333706229,1.6666666666666665,4.8105,2.583333333333333,2.6356279898778783
112,i 'm an idiot,i 'm such an idiot,4.667,5.0,4.0,4.4444444444444455,3.333333333333333,2.5,2.8571428571428577,5.0,4.0,4.4444444444444455,0.3441393234944299,1.6340644617403102,4.444444444444445,4.7886,4.015151515151515,0.992753800443272
113,", including where",", particularly where",3.667,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,0.0,2.643927086294278,2.5,4.5776,1.5765765765765765,1.682489812811552
114,- you did n't,- i do n't believe this,2.0,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,0.0,3.1700022932578764,2.0,4.5398,1.3043478260869563,2.1597528870186524
115,its grave concern at :,its serious concern at :,4.667,4.0,4.0,4.000000000000001,2.5,2.5,2.5,4.0,4.0,4.000000000000001,0.3441393234944299,1.591849205963954,3.75,4.9369,3.1725888324873104,0.8997486903711134
116,", having regard to the",in respecting the,3.0,1.0,1.6666666666666665,1.25,0.0,0.0,0.0,1.0,1.6666666666666665,1.25,0.0,2.9179714436229407,1.4285714285714284,4.5907,1.1403508771929824,2.5798369498360074
117,conflict resolution,conflicts have,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.59848727515235,2.2469729085957453,0.0,4.1471,1.875,3.6986525096672773
118,be utilized for,to be used for,3.667,3.333333333333333,2.5,2.8571428571428577,0.0,0.0,0.0,3.333333333333333,2.5,2.8571428571428577,0.0,2.051181118433804,2.8571428571428568,4.7007,2.1505376344086025,1.6028004750270564
119,enter into force,brought into force,4.667,3.333333333333333,3.333333333333333,3.333333333333333,2.5,2.5,2.5,3.333333333333333,3.333333333333333,3.333333333333333,0.3441393234944299,1.8282649533744704,3.333333333333333,4.9314,3.2238442822384434,3.2240602395931726
120,followed closely,has been closely following,4.667,2.5,1.25,1.6666666666666665,0.0,0.0,0.0,2.5,1.25,1.6666666666666665,0.0,2.0056134371198566,1.6666666666666665,4.3599,3.160919540229885,3.562321060970848
121,greater participation of,greater involvement of,4.333,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,2.139215845868265,2.578205403257023,3.333333333333333,4.8318,1.6823161189358369,1.6048269274269062
122,continue its consideration of this matter,continue consideration of this issue,4.333,3.333333333333333,4.0,3.636363636363636,2.0,2.5,2.2222222222222223,3.333333333333333,4.0,3.636363636363636,1.262137867613274,0.9343052449393424,3.6363636363636367,4.7054,3.6184210526315783,1.0104322004371522
