,HITId,HITTypeId,Title,Description,Keywords,RequesterAnnotation,AssignmentDurationInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.semantic-similarity.label,Approve,Reject
10,3JAOYN9IHL2KMOE8T7L0X2NTXXK33C,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3SPJ0334213Y9OBEBFBESMWHHTDYJG,A2HITRHQ441VHA,Approved,Wed Nov 27 08:43:32 PST 2019,Wed Nov 27 08:47:51 PST 2019,Sat Nov 30 08:47:51 PST 2019,Wed Nov 27 23:16:50 PST 2019,,,259,100% (97/97),100% (97/97),100% (97/97),"When the child was grown , one day he went out to his father to the reapers .",These were the settings forward of the children of Israel according to their hosts : so did they set forward .,2,,
11,3JAOYN9IHL2KMOE8T7L0X2NTXXK33C,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3UWN2HHPUY5XWSQQR7BH37PX9SNSN1,A1SK0GV4SSOH1A,Approved,Wed Nov 27 08:45:17 PST 2019,Wed Nov 27 08:45:22 PST 2019,Sat Nov 30 08:45:22 PST 2019,Wed Nov 27 23:16:51 PST 2019,,,5,100% (113/113),100% (113/113),100% (113/113),"When the child was grown , one day he went out to his father to the reapers .",These were the settings forward of the children of Israel according to their hosts : so did they set forward .,1 - Not Similar At All,,
12,3N5YJ55YXG3RAD63K5KPTOZ58O3ANV,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,30BXRYBRP4XYTDLO8EQ5VCVMTTDWHE,AWJ0LF6A0LXJN,Approved,Wed Nov 27 08:51:32 PST 2019,Wed Nov 27 08:53:56 PST 2019,Sat Nov 30 08:53:56 PST 2019,Wed Nov 27 23:17:53 PST 2019,,,144,100% (124/124),100% (124/124),100% (124/124),"And the lord of that servant , being moved with compassion , released him , and forgave him the debt .","He hath turned against me terrors , It pursueth as the wind mine abundance , And as a thick cloud , Hath my safety passed away .",4,,
13,3N5YJ55YXG3RAD63K5KPTOZ58O3ANV,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3EFVCAY5L39JUIKWYBDKT98FOEFJ8S,AX3RDV6XXR1XB,Approved,Wed Nov 27 08:51:41 PST 2019,Wed Nov 27 08:51:49 PST 2019,Sat Nov 30 08:51:49 PST 2019,Wed Nov 27 23:17:53 PST 2019,,,8,100% (78/78),100% (78/78),100% (78/78),"And the lord of that servant , being moved with compassion , released him , and forgave him the debt .","He hath turned against me terrors , It pursueth as the wind mine abundance , And as a thick cloud , Hath my safety passed away .",1 - Not Similar At All,,
14,3N5YJ55YXG3RAD63K5KPTOZ58O3ANV,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3TXWC2NHNZQC7QMWQXSCL6UD43B9SO,A168NGIUW93RV5,Approved,Wed Nov 27 08:53:33 PST 2019,Wed Nov 27 08:53:47 PST 2019,Sat Nov 30 08:53:47 PST 2019,Wed Nov 27 23:17:53 PST 2019,,,14,100% (89/89),100% (89/89),100% (89/89),"And the lord of that servant , being moved with compassion , released him , and forgave him the debt .","He hath turned against me terrors , It pursueth as the wind mine abundance , And as a thick cloud , Hath my safety passed away .",3,,
15,3THR0FZ95PTQOHXJIB9SHRFLSA6OL5,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3PWWM24LHSYJOMMORQ7SUSMYM3R28M,A2HITRHQ441VHA,Submitted,Wed Nov 27 08:46:49 PST 2019,Wed Nov 27 08:50:02 PST 2019,Sat Nov 30 08:50:02 PST 2019,,,,193,100% (97/97),100% (97/97),100% (97/97),"Adam , Seth , Enosh ,","all the days that the plague in him he is unclean ; he unclean , alone he doth dwell , at the outside of the camp his dwelling .",1 - Not Similar At All,,
16,3THR0FZ95PTQOHXJIB9SHRFLSA6OL5,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3U5NZHP4LR2894ONWSCA3INQ0WAHP4,ACKF1WBCKVLY3,Submitted,Wed Nov 27 08:49:53 PST 2019,Wed Nov 27 08:50:01 PST 2019,Sat Nov 30 08:50:01 PST 2019,,,,8,100% (149/149),100% (149/149),100% (149/149),"Adam , Seth , Enosh ,","all the days that the plague in him he is unclean ; he unclean , alone he doth dwell , at the outside of the camp his dwelling .",4,,
17,3THR0FZ95PTQOHXJIB9SHRFLSA6OL5,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3WQQ9FUS6AUDCZMKAJ03VLP2G938BT,A3SQ00HYQN7FYB,Submitted,Wed Nov 27 08:45:39 PST 2019,Wed Nov 27 08:45:50 PST 2019,Sat Nov 30 08:45:50 PST 2019,,,,11,100% (130/130),100% (130/130),100% (130/130),"Adam , Seth , Enosh ,","all the days that the plague in him he is unclean ; he unclean , alone he doth dwell , at the outside of the camp his dwelling .",2,,
18,3BFNCI9LYKQ2N7FVVJOQAJZ92Z637H,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3RSDURM96AMQY8PMXE0NV6JPCLIYEW,A3MZ64PK251KIC,Approved,Wed Nov 27 08:45:46 PST 2019,Wed Nov 27 08:46:15 PST 2019,Sat Nov 30 08:46:15 PST 2019,Wed Nov 27 23:15:10 PST 2019,,,29,100% (84/84),100% (84/84),100% (84/84),"And he sent Eliakim , who was over the household , and Shebna the scribe , and the elders of the priests , covered with sackcloth , unto Isaiah the prophet the son of Amoz .","And a certain man came from Baalsalisa bringing to the man of God bread of the firstfruits , twenty leaves of barley , and new corn in his scrip . And he said : Give to the people , that they may eat .",2,,
19,3BFNCI9LYKQ2N7FVVJOQAJZ92Z637H,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3TYCR1GOTCJ4949JAMPAM8IBRCNZLB,AZYMR3317SUFN,Approved,Wed Nov 27 08:45:16 PST 2019,Wed Nov 27 08:45:31 PST 2019,Sat Nov 30 08:45:31 PST 2019,Wed Nov 27 23:15:10 PST 2019,,,15,100% (22/22),100% (22/22),100% (22/22),"And he sent Eliakim , who was over the household , and Shebna the scribe , and the elders of the priests , covered with sackcloth , unto Isaiah the prophet the son of Amoz .","And a certain man came from Baalsalisa bringing to the man of God bread of the firstfruits , twenty leaves of barley , and new corn in his scrip . And he said : Give to the people , that they may eat .",1 - Not Similar At All,,
20,3BFNCI9LYKQ2N7FVVJOQAJZ92Z637H,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3XM0HYN6NKZWPUXL6R44IFQD8GFPET,AWJ0LF6A0LXJN,Approved,Wed Nov 27 08:44:40 PST 2019,Wed Nov 27 08:47:50 PST 2019,Sat Nov 30 08:47:50 PST 2019,Wed Nov 27 23:15:11 PST 2019,,,190,100% (124/124),100% (124/124),100% (124/124),"And he sent Eliakim , who was over the household , and Shebna the scribe , and the elders of the priests , covered with sackcloth , unto Isaiah the prophet the son of Amoz .","And a certain man came from Baalsalisa bringing to the man of God bread of the firstfruits , twenty leaves of barley , and new corn in his scrip . And he said : Give to the people , that they may eat .",3,,
21,3L1EFR8WWT51H2JHUBNCPOFC0FZF9E,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3A4NIXBJ76Z4AXA0VXZGE6M2C88LMJ,A2A1E85FL1JAB9,Approved,Wed Nov 27 08:50:38 PST 2019,Wed Nov 27 08:50:53 PST 2019,Sat Nov 30 08:50:53 PST 2019,Wed Nov 27 23:17:08 PST 2019,,,15,100% (40/40),100% (40/40),100% (40/40),And there was great weeping in all the country when all the people went through ; and the king himself was waiting in the Kidron valley and all the people went by him in the direction of the olive-tree on the edge of the waste land .,"that through two immutable things , in which [ it is ] impossible for God to lie , a strong comfort we may have who did flee for refuge to lay hold on the hope set before ,",1 - Not Similar At All,,
22,3L1EFR8WWT51H2JHUBNCPOFC0FZF9E,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3AAJC4I4FGSYEELJ71DX6T5JNNNZJE,A1RP234EJ8NH7K,Approved,Wed Nov 27 08:55:05 PST 2019,Wed Nov 27 08:55:08 PST 2019,Sat Nov 30 08:55:08 PST 2019,Wed Nov 27 23:17:08 PST 2019,,,3,100% (74/74),100% (74/74),100% (74/74),And there was great weeping in all the country when all the people went through ; and the king himself was waiting in the Kidron valley and all the people went by him in the direction of the olive-tree on the edge of the waste land .,"that through two immutable things , in which [ it is ] impossible for God to lie , a strong comfort we may have who did flee for refuge to lay hold on the hope set before ,",5 - Highly Similar,,
23,3L1EFR8WWT51H2JHUBNCPOFC0FZF9E,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3QEMNNSB2XZ2RIFLEAZ3CBH78ABD7K,A2JUO3H5VTEEM1,Approved,Wed Nov 27 08:50:15 PST 2019,Wed Nov 27 08:50:20 PST 2019,Sat Nov 30 08:50:20 PST 2019,Wed Nov 27 23:17:08 PST 2019,,,5,100% (197/197),100% (197/197),100% (197/197),And there was great weeping in all the country when all the people went through ; and the king himself was waiting in the Kidron valley and all the people went by him in the direction of the olive-tree on the edge of the waste land .,"that through two immutable things , in which [ it is ] impossible for God to lie , a strong comfort we may have who did flee for refuge to lay hold on the hope set before ,",2,,
24,3FTID4TN8LY2IV1LOYIQJIDN6K5LYD,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3CFJTT4SXTQJZTV76O0E38XK0FHI7P,AO2WNSGOXAX52,Approved,Wed Nov 27 08:46:53 PST 2019,Wed Nov 27 08:51:02 PST 2019,Sat Nov 30 08:51:02 PST 2019,Wed Nov 27 23:16:00 PST 2019,,,249,100% (55/55),100% (55/55),100% (55/55),"Jesus answered them , `` Destroy this temple , and in three days I will raise it up . ''","`And Jehovah hath made thee abundant in good , in the fruit of the womb , and in the fruit of thy cattle , and in the fruit of thy ground , on the ground which Jehovah hath sworn to thy fathers to give to thee .",1 - Not Similar At All,,
25,3FTID4TN8LY2IV1LOYIQJIDN6K5LYD,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3M0BCWMB8VWO20I28MG991SOYG6BWB,A2BA1R9MAHHWJH,Approved,Wed Nov 27 08:45:58 PST 2019,Wed Nov 27 08:47:21 PST 2019,Sat Nov 30 08:47:21 PST 2019,Wed Nov 27 23:16:00 PST 2019,,,83,100% (68/68),100% (68/68),100% (68/68),"Jesus answered them , `` Destroy this temple , and in three days I will raise it up . ''","`And Jehovah hath made thee abundant in good , in the fruit of the womb , and in the fruit of thy cattle , and in the fruit of thy ground , on the ground which Jehovah hath sworn to thy fathers to give to thee .",4,,
26,3FTID4TN8LY2IV1LOYIQJIDN6K5LYD,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3X4MXAO0BGOBI7ZR4J2Z9GXSG28WR8,A2SN4E7PX1NCLY,Approved,Wed Nov 27 08:44:55 PST 2019,Wed Nov 27 08:45:34 PST 2019,Sat Nov 30 08:45:34 PST 2019,Wed Nov 27 23:16:00 PST 2019,,,39,100% (10/10),100% (10/10),100% (10/10),"Jesus answered them , `` Destroy this temple , and in three days I will raise it up . ''","`And Jehovah hath made thee abundant in good , in the fruit of the womb , and in the fruit of thy cattle , and in the fruit of thy ground , on the ground which Jehovah hath sworn to thy fathers to give to thee .",1 - Not Similar At All,,
27,38G0E1M85M5OXRTAS1N7365C1UWVU8,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3H8DHMCCW9BQMXM5X4OCGGMTEUBDKQ,A1E6XN5C8S0X7W,Approved,Wed Nov 27 08:49:20 PST 2019,Wed Nov 27 08:50:11 PST 2019,Sat Nov 30 08:50:11 PST 2019,Wed Nov 27 23:14:22 PST 2019,,,51,100% (54/54),100% (54/54),100% (54/54),"having become by so much better than the angels , as he hath inherited a more excellent name than they .","Likewise when all the Jews who were in Moab , and among the children of Ammon , and in Edom , and who were in all the countries , heard that the king of Babylon had left a remnant of Judah , and that he had set over them Gedaliah the son of Ahikam , the son of Shaphan ;",2,,
28,38G0E1M85M5OXRTAS1N7365C1UWVU8,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3L2IS5HSFAIDB5IUGC6HI87LUPAUNL,A19AGK07RP4KT4,Approved,Wed Nov 27 08:48:33 PST 2019,Wed Nov 27 08:48:49 PST 2019,Sat Nov 30 08:48:49 PST 2019,Wed Nov 27 23:14:22 PST 2019,,,16,100% (7/7),100% (7/7),100% (7/7),"having become by so much better than the angels , as he hath inherited a more excellent name than they .","Likewise when all the Jews who were in Moab , and among the children of Ammon , and in Edom , and who were in all the countries , heard that the king of Babylon had left a remnant of Judah , and that he had set over them Gedaliah the son of Ahikam , the son of Shaphan ;",1 - Not Similar At All,,
29,38G0E1M85M5OXRTAS1N7365C1UWVU8,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3QRYMNZ7FYHYBS35G7G7DCLJBB1TNR,A1LZXNOD36P7C4,Approved,Wed Nov 27 08:45:53 PST 2019,Wed Nov 27 08:46:08 PST 2019,Sat Nov 30 08:46:08 PST 2019,Wed Nov 27 23:14:22 PST 2019,,,15,100% (17/17),100% (17/17),100% (17/17),"having become by so much better than the angels , as he hath inherited a more excellent name than they .","Likewise when all the Jews who were in Moab , and among the children of Ammon , and in Edom , and who were in all the countries , heard that the king of Babylon had left a remnant of Judah , and that he had set over them Gedaliah the son of Ahikam , the son of Shaphan ;",1 - Not Similar At All,,
30,3NZ1E5QA6Z1S3Y5PMJOZUIJPZLO5BV,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,36PW28KO4ZWP2QRJH8M7SK1I9UJAE2,AWJ0LF6A0LXJN,Approved,Wed Nov 27 08:51:59 PST 2019,Wed Nov 27 08:55:51 PST 2019,Sat Nov 30 08:55:51 PST 2019,Fri Nov 29 02:08:24 PST 2019,,,232,100% (124/124),100% (124/124),100% (124/124),"Up ! and let the grain be crushed , O daughter of Zion , for I will make your horn iron and your feet brass , and a number of peoples will be broken by you , and you will give up their increase to the Lord and their wealth to the Lord of all the earth .","I pray you to stay here this night also , that I may know what the Lord will answer me once more .",2,,
31,3NZ1E5QA6Z1S3Y5PMJOZUIJPZLO5BV,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,37QW5D2ZRGMCTL3ML5MYLAZ2KXSS8H,A8TIL9U6YHG5,Approved,Wed Nov 27 08:52:09 PST 2019,Wed Nov 27 08:52:21 PST 2019,Sat Nov 30 08:52:21 PST 2019,Fri Nov 29 02:08:25 PST 2019,,,12,100% (22/22),100% (22/22),100% (22/22),"Up ! and let the grain be crushed , O daughter of Zion , for I will make your horn iron and your feet brass , and a number of peoples will be broken by you , and you will give up their increase to the Lord and their wealth to the Lord of all the earth .","I pray you to stay here this night also , that I may know what the Lord will answer me once more .",1 - Not Similar At All,,
32,3NZ1E5QA6Z1S3Y5PMJOZUIJPZLO5BV,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851009;OriginalHitTemplateId:928390905;,14400,3UXUOQ9OKEX4TBC9U081MA91N7GA7H,A1SK0GV4SSOH1A,Approved,Wed Nov 27 08:53:42 PST 2019,Wed Nov 27 08:53:46 PST 2019,Sat Nov 30 08:53:46 PST 2019,Fri Nov 29 02:08:25 PST 2019,,,4,100% (113/113),100% (113/113),100% (113/113),"Up ! and let the grain be crushed , O daughter of Zion , for I will make your horn iron and your feet brass , and a number of peoples will be broken by you , and you will give up their increase to the Lord and their wealth to the Lord of all the earth .","I pray you to stay here this night also , that I may know what the Lord will answer me once more .",2,,
