,HITId,HITTypeId,Title,Description,Keywords,RequesterAnnotation,AssignmentDurationInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.semantic-similarity.label,Approve,Reject
16,3GV1I4SEO9P0ZBRFIFNY0RTU7AK6L6,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3PJ71Z61R42CD6N2DEDSP574E4H19H,AZYMR3317SUFN,Submitted,Wed Nov 27 09:18:33 PST 2019,Wed Nov 27 09:18:41 PST 2019,Sat Nov 30 09:18:41 PST 2019,,,,8,100% (28/28),100% (28/28),100% (28/28),i am tell ing you this from my personal experience .,i am tell ing you this from personal experience .,5 - Highly Similar,,
17,3GV1I4SEO9P0ZBRFIFNY0RTU7AK6L6,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3QXNC7EIPIVC6H2KHV9SB0OU9CC09E,A3P04JZJNOYILR,Submitted,Wed Nov 27 09:19:56 PST 2019,Wed Nov 27 09:36:02 PST 2019,Sat Nov 30 09:36:02 PST 2019,,,,966,0% (0/0),0% (0/0),0% (0/0),i am tell ing you this from my personal experience .,i am tell ing you this from personal experience .,5 - Highly Similar,,
18,366FYU4PTGPTSK2C3XUVXF8SZ83KE2,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3DUZQ9U6SMOA4XZZTYX8DOJAVWFVSD,A3746TDKYH8SJ9,Submitted,Wed Nov 27 09:22:24 PST 2019,Wed Nov 27 09:22:42 PST 2019,Sat Nov 30 09:22:42 PST 2019,,,,18,100% (142/142),100% (142/142),100% (142/142),i am glad that i do not like rap music because that is really creepy .,that is rather strange . it is fortunate that i do not like rap music .,2,,
19,366FYU4PTGPTSK2C3XUVXF8SZ83KE2,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3H0W84IWBK2H17D0JJ8TNAQS9ZTREF,A1X9X6JCC0UEKM,Submitted,Wed Nov 27 09:21:53 PST 2019,Wed Nov 27 09:22:56 PST 2019,Sat Nov 30 09:22:56 PST 2019,,,,63,100% (178/178),100% (178/178),100% (178/178),i am glad that i do not like rap music because that is really creepy .,that is rather strange . it is fortunate that i do not like rap music .,2,,
20,366FYU4PTGPTSK2C3XUVXF8SZ83KE2,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3M81GAB8A0JJI3MGWDH3HCA2AGEQBD,A2MV1325939NBM,Submitted,Wed Nov 27 09:22:23 PST 2019,Wed Nov 27 09:30:43 PST 2019,Sat Nov 30 09:30:43 PST 2019,,,,500,100% (93/93),100% (93/93),100% (93/93),i am glad that i do not like rap music because that is really creepy .,that is rather strange . it is fortunate that i do not like rap music .,5 - Highly Similar,,
21,33BFF6QPI1BHDMGW3RW22ZYQVQLW3I,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,31LM9EDVOLS4XP704D23B6YADA1NJ9,A1E5SYFT1FA3J7,Submitted,Wed Nov 27 09:23:07 PST 2019,Wed Nov 27 09:23:53 PST 2019,Sat Nov 30 09:23:53 PST 2019,,,,46,100% (44/44),100% (44/44),100% (44/44),"if they ask for cash only and no pay p al , they will not treat you fairly .","if they request cash rather than pay p al for trans action purposes , it is likely they will be unsc r up ulous .",3,,
22,33BFF6QPI1BHDMGW3RW22ZYQVQLW3I,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3QRYMNZ7FYHYBS35G7G7DCLJBCQTNI,A1TIO97G4K0ZFF,Submitted,Wed Nov 27 09:21:27 PST 2019,Wed Nov 27 09:21:35 PST 2019,Sat Nov 30 09:21:35 PST 2019,,,,8,100% (247/247),100% (247/247),100% (247/247),"if they ask for cash only and no pay p al , they will not treat you fairly .","if they request cash rather than pay p al for trans action purposes , it is likely they will be unsc r up ulous .",1 - Not Similar At All,,
23,33BFF6QPI1BHDMGW3RW22ZYQVQLW3I,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3VP0C6EFSGWMRC7T8TTEPN45ME8M63,A3IDU0PGLK1H1F,Submitted,Wed Nov 27 09:24:25 PST 2019,Wed Nov 27 09:24:43 PST 2019,Sat Nov 30 09:24:43 PST 2019,,,,18,100% (65/65),100% (65/65),100% (65/65),"if they ask for cash only and no pay p al , they will not treat you fairly .","if they request cash rather than pay p al for trans action purposes , it is likely they will be unsc r up ulous .",1 - Not Similar At All,,
24,3566S7OX5DJ6D41G8FA7MQKC4FZ17U,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3HRMW88U16QRD1LE64DXGMUE9BIM0Y,A139DFNZS0I9RB,Submitted,Wed Nov 27 09:19:07 PST 2019,Wed Nov 27 09:19:46 PST 2019,Sat Nov 30 09:19:46 PST 2019,,,,39,100% (41/41),100% (41/41),100% (41/41),"just talk to them , what are they going to do , slap you ?",just tell them . what are they going to do ? slap you ?,5 - Highly Similar,,
25,3566S7OX5DJ6D41G8FA7MQKC4FZ17U,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3M68NM076H7DOSKLD1PVBMYFS136R7,ACB2YU5F07TX0,Submitted,Wed Nov 27 09:18:53 PST 2019,Wed Nov 27 09:19:00 PST 2019,Sat Nov 30 09:19:00 PST 2019,,,,7,100% (38/38),100% (38/38),100% (38/38),"just talk to them , what are they going to do , slap you ?",just tell them . what are they going to do ? slap you ?,4,,
26,3566S7OX5DJ6D41G8FA7MQKC4FZ17U,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3ZGVPD4G6THSSHHOJVR18ZSSLQYTZZ,A848G3C44BRC4,Submitted,Wed Nov 27 09:20:47 PST 2019,Wed Nov 27 09:20:57 PST 2019,Sat Nov 30 09:20:57 PST 2019,,,,10,100% (28/28),100% (28/28),100% (28/28),"just talk to them , what are they going to do , slap you ?",just tell them . what are they going to do ? slap you ?,5 - Highly Similar,,
27,33CLA8O0MIB7L2F3OSNYG9F661BRFJ,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,31IBVUNM9SZ10SUDNEX96P0V66IVFR,A1SK0GV4SSOH1A,Submitted,Wed Nov 27 09:18:14 PST 2019,Wed Nov 27 09:18:19 PST 2019,Sat Nov 30 09:18:19 PST 2019,,,,5,100% (175/175),100% (175/175),100% (175/175),simpl y disc o unt his legs and singing voice and there you have it .,just take away his dancing and his singing voice and you have it !,3,,
28,33CLA8O0MIB7L2F3OSNYG9F661BRFJ,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,34YB12FSQYOOO5WZK6201EHUGS7GMV,A28U1GCCY9R6O4,Submitted,Wed Nov 27 09:18:54 PST 2019,Wed Nov 27 09:19:10 PST 2019,Sat Nov 30 09:19:10 PST 2019,,,,16,100% (68/68),100% (68/68),100% (68/68),simpl y disc o unt his legs and singing voice and there you have it .,just take away his dancing and his singing voice and you have it !,5 - Highly Similar,,
29,33CLA8O0MIB7L2F3OSNYG9F661BRFJ,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3G5W44VEU7ITYHWWZUPKM1PQROUGKA,A1E6XN5C8S0X7W,Submitted,Wed Nov 27 12:23:05 PST 2019,Wed Nov 27 12:23:38 PST 2019,Sat Nov 30 12:23:38 PST 2019,,,,33,100% (143/143),100% (143/143),100% (143/143),simpl y disc o unt his legs and singing voice and there you have it .,just take away his dancing and his singing voice and you have it !,2,,
30,36KM3FWE3RC66FGYCW678L12ZNT70X,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,33SA9F9TRXUM93UMIDIZA9Y91E6WEL,A3D6DQGF78M17W,Submitted,Wed Nov 27 09:19:32 PST 2019,Wed Nov 27 09:19:43 PST 2019,Sat Nov 30 09:19:43 PST 2019,,,,11,100% (17/17),100% (17/17),100% (17/17),i hope that you find this one funny .,i hope you find this one amusing .,5 - Highly Similar,,
31,36KM3FWE3RC66FGYCW678L12ZNT70X,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3EG49X351UCXLO6XM0VN04K3TIOX6U,A1X9X6JCC0UEKM,Submitted,Wed Nov 27 09:19:57 PST 2019,Wed Nov 27 09:20:02 PST 2019,Sat Nov 30 09:20:02 PST 2019,,,,5,100% (178/178),100% (178/178),100% (178/178),i hope that you find this one funny .,i hope you find this one amusing .,4,,
32,36KM3FWE3RC66FGYCW678L12ZNT70X,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3I33IC7ZWF2X7AF3OOR6QJSTCSFA2O,AS398EK5DE396,Submitted,Wed Nov 27 09:22:01 PST 2019,Wed Nov 27 09:33:06 PST 2019,Sat Nov 30 09:33:06 PST 2019,,,,665,100% (22/22),100% (22/22),100% (22/22),i hope that you find this one funny .,i hope you find this one amusing .,4,,
33,3PEG1BH7AERVLHQST6S5W727WBQBKT,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,33F859I566D65ANDDNU98YI1JTLBH5,A3TKUXUTDX6FBF,Submitted,Wed Nov 27 09:25:25 PST 2019,Wed Nov 27 09:25:34 PST 2019,Sat Nov 30 09:25:34 PST 2019,,,,9,100% (14/14),100% (14/14),100% (14/14),"if you have me r cen ary friends , then they can take care of anyone who anger s you .",that way when you become anger ed by somebody you can have your ne f arious friends cause harm to them !,4,,
34,3PEG1BH7AERVLHQST6S5W727WBQBKT,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3EA3QWIZ4IV6XRSEJR3F84P2PD3ITY,A3I54HNSQ6VJGR,Submitted,Wed Nov 27 09:29:56 PST 2019,Wed Nov 27 09:30:55 PST 2019,Sat Nov 30 09:30:55 PST 2019,,,,59,0% (0/0),0% (0/0),0% (0/0),"if you have me r cen ary friends , then they can take care of anyone who anger s you .",that way when you become anger ed by somebody you can have your ne f arious friends cause harm to them !,1 - Not Similar At All,,
35,3PEG1BH7AERVLHQST6S5W727WBQBKT,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3VHHR074H3HLPU3DRRXRVOPCHK1L7Y,A1PR75OOJOLBA2,Submitted,Wed Nov 27 09:24:00 PST 2019,Wed Nov 27 09:24:05 PST 2019,Sat Nov 30 09:24:05 PST 2019,,,,5,100% (328/328),100% (328/328),100% (328/328),"if you have me r cen ary friends , then they can take care of anyone who anger s you .",that way when you become anger ed by somebody you can have your ne f arious friends cause harm to them !,3,,
36,3LG268AV386FFOF7TH3SYRU6U0WRE1,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3IUZPWIU1O7PV3MWEZT284BELB4KWV,A14CLZWROI8UCS,Submitted,Wed Nov 27 09:22:04 PST 2019,Wed Nov 27 09:22:17 PST 2019,Sat Nov 30 09:22:17 PST 2019,,,,13,100% (124/124),100% (124/124),100% (124/124),"sleep y , g rump y , do c , s nee zy , happy , do pe y , and ba sh ful are the seven dwarves !","the seven dwarves are these : sleep y , g rump y , do c , s nee zy , happy , do pe y , and ba sh ful .",5 - Highly Similar,,
37,3LG268AV386FFOF7TH3SYRU6U0WRE1,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3JBT3HLQF82U0POH2EIH3PRVWNDZP0,A3V8FN8YW3YHAV,Submitted,Wed Nov 27 09:21:00 PST 2019,Wed Nov 27 09:21:06 PST 2019,Sat Nov 30 09:21:06 PST 2019,,,,6,100% (31/31),100% (31/31),100% (31/31),"sleep y , g rump y , do c , s nee zy , happy , do pe y , and ba sh ful are the seven dwarves !","the seven dwarves are these : sleep y , g rump y , do c , s nee zy , happy , do pe y , and ba sh ful .",5 - Highly Similar,,
38,3LG268AV386FFOF7TH3SYRU6U0WRE1,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3NKQQ8O39Y54PTRHRISEM3VRGMUUDR,A38WFH69NQ5WJG,Submitted,Wed Nov 27 09:19:12 PST 2019,Wed Nov 27 09:19:46 PST 2019,Sat Nov 30 09:19:46 PST 2019,,,,34,100% (1/1),100% (1/1),100% (1/1),"sleep y , g rump y , do c , s nee zy , happy , do pe y , and ba sh ful are the seven dwarves !","the seven dwarves are these : sleep y , g rump y , do c , s nee zy , happy , do pe y , and ba sh ful .",5 - Highly Similar,,
39,3LB1BGHFL2WQ189QX7KH59N40XYTYV,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,32EYX73OY09YQ3AM9JNYRSCVVNLRUU,A2JAMNGL6SDAHQ,Submitted,Wed Nov 27 09:19:29 PST 2019,Wed Nov 27 09:19:59 PST 2019,Sat Nov 30 09:19:59 PST 2019,,,,30,100% (97/97),100% (97/97),100% (97/97),"in my case , i think around n um  % .","in my situation , probably n um  % .",2,,
40,3LB1BGHFL2WQ189QX7KH59N40XYTYV,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851033;OriginalHitTemplateId:928390905;,14400,3FE2ERCCZX8I1LAA0570NRKRCJ9OPM,A2GZNOA5CIVKUB,Submitted,Wed Nov 27 09:19:05 PST 2019,Wed Nov 27 09:19:12 PST 2019,Sat Nov 30 09:19:12 PST 2019,,,,7,100% (1/1),100% (1/1),100% (1/1),"in my case , i think around n um  % .","in my situation , probably n um  % .",3,,
