,HITId,HITTypeId,Title,Description,Keywords,RequesterAnnotation,AssignmentDurationInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text1,Input.text2,Answer.semantic-similarity.label,Approve,Reject
10,3DW3BNF1GHIQZUMXPYM27ENN43D8VE,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3ERMJ6L4DYS5VCLYR3Y6V141HPY7MT,A3BCGN11HDM8QR,Submitted,Wed Nov 27 09:32:13 PST 2019,Wed Nov 27 09:32:19 PST 2019,Sat Nov 30 09:32:19 PST 2019,,,,6,100% (378/378),100% (378/378),100% (378/378),there are n um  : young frank en s te in rais ing a ri zon a love and death,"there ' s three of  ; em : young frank en s te in , love and death , rais ing a ri zon a .",3,,
11,3DW3BNF1GHIQZUMXPYM27ENN43D8VE,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3HL8HNGX45133LHAKDSDE7BYFE9F95,AGGJUBFTYXCCZ,Submitted,Wed Nov 27 09:31:09 PST 2019,Wed Nov 27 09:31:20 PST 2019,Sat Nov 30 09:31:20 PST 2019,,,,11,100% (1/1),100% (1/1),100% (1/1),there are n um  : young frank en s te in rais ing a ri zon a love and death,"there ' s three of  ; em : young frank en s te in , love and death , rais ing a ri zon a .",3,,
12,335VBRURDJ09BOJLZ03676UCOESE93,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3C2NJ6JBKAH4RT9SXSWBCPCTBZN2N9,A2GZNOA5CIVKUB,Submitted,Wed Nov 27 09:33:59 PST 2019,Wed Nov 27 09:34:05 PST 2019,Sat Nov 30 09:34:05 PST 2019,,,,6,100% (3/3),100% (3/3),100% (3/3),how do you get a blond to kill herself ?,how do u get a blond to commit suicide ?,4,,
13,335VBRURDJ09BOJLZ03676UCOESE93,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3JMSRU9HQIU9UEUHS3D3O7FVU5DEV2,A2SXXNUR56A96,Submitted,Wed Nov 27 09:31:02 PST 2019,Wed Nov 27 09:31:09 PST 2019,Sat Nov 30 09:31:09 PST 2019,,,,7,0% (0/0),0% (0/0),0% (0/0),how do you get a blond to kill herself ?,how do u get a blond to commit suicide ?,5 - Highly Similar,,
14,335VBRURDJ09BOJLZ03676UCOESE93,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3ND9UOO81K20F94EZZ53N4OTABLLWB,A3V8LIMUUJWUTL,Submitted,Wed Nov 27 09:38:58 PST 2019,Wed Nov 27 09:43:02 PST 2019,Sat Nov 30 09:43:02 PST 2019,,,,244,100% (30/30),100% (30/30),100% (30/30),how do you get a blond to kill herself ?,how do u get a blond to commit suicide ?,5 - Highly Similar,,
15,309D674SHZLD2JE41TB78OPZR2IBCH,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,37XITHEISW9249TMNS2YXMQPONMRCS,A28U1GCCY9R6O4,Submitted,Wed Nov 27 09:30:42 PST 2019,Wed Nov 27 09:30:50 PST 2019,Sat Nov 30 09:30:50 PST 2019,,,,8,100% (78/78),100% (78/78),100% (78/78),that ' s the best joke i ' ve ever heard .,"ugh , i ' ve never heard such a tired old excuse for a joke",1 - Not Similar At All,,
16,309D674SHZLD2JE41TB78OPZR2IBCH,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3OHYZ19UGC5BEH48BMP3XWVWDXIAO1,A14KIIR8FGYCHO,Submitted,Wed Nov 27 09:31:14 PST 2019,Wed Nov 27 09:34:05 PST 2019,Sat Nov 30 09:34:05 PST 2019,,,,171,100% (41/41),100% (41/41),100% (41/41),that ' s the best joke i ' ve ever heard .,"ugh , i ' ve never heard such a tired old excuse for a joke",5 - Highly Similar,,
17,309D674SHZLD2JE41TB78OPZR2IBCH,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3TAYZSBPLL81761X5ODXBJMZYYUS2A,A2A1E85FL1JAB9,Submitted,Wed Nov 27 09:32:34 PST 2019,Wed Nov 27 09:32:41 PST 2019,Sat Nov 30 09:32:41 PST 2019,,,,7,100% (132/132),100% (132/132),100% (132/132),that ' s the best joke i ' ve ever heard .,"ugh , i ' ve never heard such a tired old excuse for a joke",1 - Not Similar At All,,
18,3RWB1RTQDJNDUAP13MD31MY5IFC8PT,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3FE2ERCCZX8I1LAA0570NRKRCJIOPV,A2B6IFOZY2D4A4,Submitted,Wed Nov 27 09:31:46 PST 2019,Wed Nov 27 09:31:52 PST 2019,Sat Nov 30 09:31:52 PST 2019,,,,6,100% (403/403),100% (403/403),100% (403/403),then u can make an easier decision .,"that happens , your decision will be easier .",2,,
19,3RWB1RTQDJNDUAP13MD31MY5IFC8PT,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3LO69W1SU3D4INEEKU1L1125GNQGL2,A2GZNOA5CIVKUB,Submitted,Wed Nov 27 09:31:36 PST 2019,Wed Nov 27 09:31:41 PST 2019,Sat Nov 30 09:31:41 PST 2019,,,,5,100% (3/3),100% (3/3),100% (3/3),then u can make an easier decision .,"that happens , your decision will be easier .",5 - Highly Similar,,
20,3RWB1RTQDJNDUAP13MD31MY5IFC8PT,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3VJ40NV2QINGTD3HHMGKS1LO1M3OT0,ATHS9GUME1XCA,Submitted,Wed Nov 27 09:31:48 PST 2019,Wed Nov 27 09:32:00 PST 2019,Sat Nov 30 09:32:00 PST 2019,,,,12,100% (70/70),100% (70/70),100% (70/70),then u can make an easier decision .,"that happens , your decision will be easier .",4,,
21,306W7JMRYYYBQGORKHV262TG1BXB8B,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3IAS3U3I0FG2QKKVU2R2LUCZUA8B2S,AH7I3K3OJKA5L,Submitted,Wed Nov 27 09:32:40 PST 2019,Wed Nov 27 09:32:50 PST 2019,Sat Nov 30 09:32:50 PST 2019,,,,10,100% (1/1),100% (1/1),100% (1/1),i got a great idea you can move to new  z eal and .,"let me guess , you ' ll relocate to new  z eal and ?",5 - Highly Similar,,
22,306W7JMRYYYBQGORKHV262TG1BXB8B,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3TVRFO09GKFF4994941PPN20JDMXLB,A3I54HNSQ6VJGR,Submitted,Wed Nov 27 09:31:28 PST 2019,Wed Nov 27 09:31:46 PST 2019,Sat Nov 30 09:31:46 PST 2019,,,,18,0% (0/0),0% (0/0),0% (0/0),i got a great idea you can move to new  z eal and .,"let me guess , you ' ll relocate to new  z eal and ?",5 - Highly Similar,,
23,306W7JMRYYYBQGORKHV262TG1BXB8B,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3UWN2HHPUY5XWSQQR7BH37PX9TMNSX,A36JOP57WZ4G52,Submitted,Wed Nov 27 09:34:14 PST 2019,Wed Nov 27 09:35:06 PST 2019,Sat Nov 30 09:35:06 PST 2019,,,,52,100% (26/26),100% (26/26),100% (26/26),i got a great idea you can move to new  z eal and .,"let me guess , you ' ll relocate to new  z eal and ?",1 - Not Similar At All,,
24,31GN6YMHLPSLX31BT6X3A762N6MSW8,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,35LDD5557A4TQRSIAXNFZ69NN9XKMB,A2GZNOA5CIVKUB,Submitted,Wed Nov 27 09:31:10 PST 2019,Wed Nov 27 09:31:14 PST 2019,Sat Nov 30 09:31:14 PST 2019,,,,4,100% (3/3),100% (3/3),100% (3/3),guy : im a caveman girl : what s this ?,dude : i ' m a caveman girl : what ' s this ?,3,,
25,31GN6YMHLPSLX31BT6X3A762N6MSW8,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3EJPLAJKEMGMQJ6CNIJ8XP0E1IV6Z9,A199N1JFVRLD4F,Submitted,Wed Nov 27 09:30:52 PST 2019,Wed Nov 27 09:31:16 PST 2019,Sat Nov 30 09:31:16 PST 2019,,,,24,100% (2/2),100% (2/2),100% (2/2),guy : im a caveman girl : what s this ?,dude : i ' m a caveman girl : what ' s this ?,5 - Highly Similar,,
26,31GN6YMHLPSLX31BT6X3A762N6MSW8,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3NVC2EB65QZNOA9P8UJRCFFSLXS3YC,A380YF6Y0HY00O,Submitted,Wed Nov 27 09:34:33 PST 2019,Wed Nov 27 09:35:21 PST 2019,Sat Nov 30 09:35:21 PST 2019,,,,48,100% (6/6),100% (6/6),100% (6/6),guy : im a caveman girl : what s this ?,dude : i ' m a caveman girl : what ' s this ?,4,,
27,371DNNCG442BM2I8K3MN6WZ27IX8TY,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3EO896NRAWV2S2CK19OFK5422STTJM,A2B6IFOZY2D4A4,Submitted,Wed Nov 27 09:31:43 PST 2019,Wed Nov 27 09:31:49 PST 2019,Sat Nov 30 09:31:49 PST 2019,,,,6,100% (403/403),100% (403/403),100% (403/403),carrie under wood - don ' t forget to remember me,the song don ' t forget to remember is one of car y under wood ' s .,1 - Not Similar At All,,
28,371DNNCG442BM2I8K3MN6WZ27IX8TY,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3WOKGM4L71GFD46QJKSA8QJJ4B7O0P,AKPREVCOLFOBY,Submitted,Wed Nov 27 09:32:57 PST 2019,Wed Nov 27 09:33:31 PST 2019,Sat Nov 30 09:33:31 PST 2019,,,,34,0% (0/0),0% (0/0),0% (0/0),carrie under wood - don ' t forget to remember me,the song don ' t forget to remember is one of car y under wood ' s .,5 - Highly Similar,,
29,371DNNCG442BM2I8K3MN6WZ27IX8TY,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3XUHV3NRVKY4GU64CD3W5CI99X3H5E,A1PR75OOJOLBA2,Submitted,Wed Nov 27 09:30:50 PST 2019,Wed Nov 27 09:30:54 PST 2019,Sat Nov 30 09:30:54 PST 2019,,,,4,100% (367/367),100% (367/367),100% (367/367),carrie under wood - don ' t forget to remember me,the song don ' t forget to remember is one of car y under wood ' s .,3,,
30,3R4QIDVOJPCQ6KA27BJSZKVNFB8EED,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3CP1TO84PT10143MTS0PI8C7KEL52K,A2OP2ZANIM5ZV,Submitted,Wed Nov 27 09:30:49 PST 2019,Wed Nov 27 09:31:01 PST 2019,Sat Nov 30 09:31:01 PST 2019,,,,12,100% (185/185),100% (185/185),100% (185/185),"why do the women their have hair on their face s , y uck ! !",why do some g als have hair on their face s ?,2,,
31,3R4QIDVOJPCQ6KA27BJSZKVNFB8EED,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3U0SRXB7CD5LVDQDCIBCDXK1NR3NR9,A14UJPO621M1X0,Submitted,Wed Nov 27 09:34:15 PST 2019,Wed Nov 27 09:34:22 PST 2019,Sat Nov 30 09:34:22 PST 2019,,,,7,100% (140/140),100% (140/140),100% (140/140),"why do the women their have hair on their face s , y uck ! !",why do some g als have hair on their face s ?,4,,
32,3R4QIDVOJPCQ6KA27BJSZKVNFB8EED,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3Z4XG4ZF48RKP2PLFFSLKIGUZDOX8Q,A2YXL5GQ3LZUY0,Submitted,Wed Nov 27 09:33:11 PST 2019,Wed Nov 27 09:33:23 PST 2019,Sat Nov 30 09:33:23 PST 2019,,,,12,100% (1/1),100% (1/1),100% (1/1),"why do the women their have hair on their face s , y uck ! !",why do some g als have hair on their face s ?,3,,
33,3X7837UUADYU4L3FFUBLKCG23LGJ6I,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3TPWUS5F8917C5A8MMC4KLY6G24WC3,A1P622HXQAJ990,Submitted,Wed Nov 27 09:34:52 PST 2019,Wed Nov 27 09:35:02 PST 2019,Sat Nov 30 09:35:02 PST 2019,,,,10,100% (1/1),100% (1/1),100% (1/1),men are dumb ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! who the hell know what they re thinking when then do what they do,men are dumb - no one understands why they act the way they do !,5 - Highly Similar,,
34,3X7837UUADYU4L3FFUBLKCG23LGJ6I,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3WJ1OXY92AG8TPHS45070A5WYSEA8Y,AH7I3K3OJKA5L,Submitted,Wed Nov 27 09:31:06 PST 2019,Wed Nov 27 09:31:16 PST 2019,Sat Nov 30 09:31:16 PST 2019,,,,10,100% (1/1),100% (1/1),100% (1/1),men are dumb ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! who the hell know what they re thinking when then do what they do,men are dumb - no one understands why they act the way they do !,5 - Highly Similar,,
35,3X7837UUADYU4L3FFUBLKCG23LGJ6I,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3Z4AIRP3C6D2E250GUJ658TML7GX14,A1NRZ7O1TEJB1V,Submitted,Wed Nov 27 09:30:54 PST 2019,Wed Nov 27 09:32:32 PST 2019,Sat Nov 30 09:32:32 PST 2019,,,,98,100% (169/169),100% (169/169),100% (169/169),men are dumb ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! who the hell know what they re thinking when then do what they do,men are dumb - no one understands why they act the way they do !,4,,
36,35U0MRQMUJ7TKM9DWFBY40DNJ8HOVX,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,32VNZTT0A74Z95G7UDWGEOE1WA8R4I,AH7I3K3OJKA5L,Submitted,Wed Nov 27 09:34:38 PST 2019,Wed Nov 27 09:34:45 PST 2019,Sat Nov 30 09:34:45 PST 2019,,,,7,100% (1/1),100% (1/1),100% (1/1),that song is go nna be our class one .,here is our class song .,4,,
37,35U0MRQMUJ7TKM9DWFBY40DNJ8HOVX,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3L2IS5HSFAIDB5IUGC6HI87LUQ7UNK,A5BMA5POGL8DW,Submitted,Wed Nov 27 09:34:33 PST 2019,Wed Nov 27 09:35:05 PST 2019,Sat Nov 30 09:35:05 PST 2019,,,,32,0% (0/0),0% (0/0),0% (0/0),that song is go nna be our class one .,here is our class song .,3,,
38,35U0MRQMUJ7TKM9DWFBY40DNJ8HOVX,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3Y9N9SS8LYBKQZEYCYWDZU5R39M3D4,A2PQV1A2D4CG52,Submitted,Wed Nov 27 09:34:23 PST 2019,Wed Nov 27 09:34:39 PST 2019,Sat Nov 30 09:34:39 PST 2019,,,,16,100% (232/232),100% (232/232),100% (232/232),that song is go nna be our class one .,here is our class song .,3,,
39,31ODACBENUFGD65PHXYXIIOGZ55SQ4,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3O6CYIULED13YZR88DX4ERKCN29UW9,A2GZNOA5CIVKUB,Submitted,Wed Nov 27 09:31:14 PST 2019,Wed Nov 27 09:31:17 PST 2019,Sat Nov 30 09:31:17 PST 2019,,,,3,100% (3/3),100% (3/3),100% (3/3),this song is my  jam ! !,i freak in dig this song !,2,,
40,31ODACBENUFGD65PHXYXIIOGZ55SQ4,3TZJMY6N8MTM6A01KQ0QESH9DVHG7U,How similar is the meaning of these two pieces of text?,How similar is the meaning of these two pieces of text?,"meaning, semantic, similarity, text",BatchId:3851037;OriginalHitTemplateId:928390905;,14400,3RWE2M8QWHAXVJ6EI5SXT1JEE11N08,A3TKUXUTDX6FBF,Submitted,Wed Nov 27 09:31:08 PST 2019,Wed Nov 27 09:31:17 PST 2019,Sat Nov 30 09:31:17 PST 2019,,,,9,100% (23/23),100% (23/23),100% (23/23),this song is my  jam ! !,i freak in dig this song !,1 - Not Similar At All,,
